Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524421112058,2737748956250,-0.41180268,1.1204864,9.739613
android.sensor.accelerometer,1524421112077,2737768946875,-0.45968673,1.1300632,9.940725
android.sensor.accelerometer,1524421112097,2737788937500,-0.5650316,1.2162545,9.892841
android.sensor.accelerometer,1524421112117,2737808959375,-0.5363012,1.2162545,9.80665
android.sensor.accelerometer,1524421112137,2737828951562,-0.46926352,1.1779473,9.730036
android.sensor.accelerometer,1524421112157,2737848942187,-0.51714754,1.2162545,9.672575
android.sensor.accelerometer,1524421112177,2737868932812,-0.61291564,1.2641385,9.749189
android.sensor.accelerometer,1524421112197,2737888954687,-0.4213795,1.2162545,9.80665
android.sensor.accelerometer,1524421112217,2737908945312,-0.34476504,1.1971009,9.662998
android.sensor.accelerometer,1524421112237,2737928935937,-0.48841715,1.2258313,9.452309
android.sensor.accelerometer,1524421112257,2737948959375,-0.545878,1.1971009,9.452309
android.sensor.accelerometer,1524421112277,2737968950000,-0.4405331,1.1300632,9.691729
android.sensor.accelerometer,1524421112297,2737988940625,-0.545878,1.0151415,10.113108
android.sensor.accelerometer,1524421112317,2738008931250,-0.7374141,1.0055647,10.486604
android.sensor.accelerometer,1524421112337,2738028953125,-0.81402856,1.340753,10.630256
android.sensor.accelerometer,1524421112357,2738048943750,-0.6512229,1.3790601,10.486604
android.sensor.accelerometer,1524421112377,2738068935937,-0.59376204,1.3982137,9.959879
android.sensor.accelerometer,1524421112397,2738088957812,-0.5363012,1.5897499,9.519346
android.sensor.accelerometer,1524421112417,2738108948437,-0.4213795,1.5227122,8.992621
android.sensor.accelerometer,1524421112437,2738128939062,-0.34476504,1.532289,8.887277
android.sensor.accelerometer,1524421112457,2738148931250,-0.46926352,1.5610195,8.992621
android.sensor.accelerometer,1524421112477,2738168953125,-0.45968673,1.532289,9.165004
android.sensor.accelerometer,1524421112497,2738188943750,-0.36391866,1.3503298,9.404425
android.sensor.accelerometer,1524421112517,2738208934375,-0.19153613,1.1971009,9.56723
android.sensor.accelerometer,1524421112537,2738228956250,-0.29688102,1.1683705,9.662998
android.sensor.accelerometer,1524421112557,2738248948437,-0.45010993,1.043872,9.77792
android.sensor.accelerometer,1524421112577,2738268937500,-0.4213795,1.0630256,9.892841
android.sensor.accelerometer,1524421112597,2738288960937,-0.38307226,0.9864111,10.0269165
android.sensor.accelerometer,1524421112617,2738308953125,-0.32561144,0.9864111,10.208876
android.sensor.accelerometer,1524421112637,2738328942187,-0.37349546,1.043872,10.371682
android.sensor.accelerometer,1524421112657,2738348934375,-0.5363012,1.13964,10.515334
android.sensor.accelerometer,1524421112677,2738368956250,-0.47884035,1.1204864,10.180145
android.sensor.accelerometer,1524421112697,2738388946875,-0.545878,1.2258313,9.816227
android.sensor.accelerometer,1524421112717,2738408937500,-0.545878,1.3503298,9.576807
android.sensor.accelerometer,1524421112737,2738428959375,-0.58418524,1.4652514,9.595961
android.sensor.accelerometer,1524421112757,2738448950000,-0.5746084,1.5131354,9.56723
android.sensor.accelerometer,1524421112777,2738468942187,-0.5363012,1.4460979,9.509769
android.sensor.accelerometer,1524421112797,2738488932812,-0.35434186,1.292869,9.423578
android.sensor.accelerometer,1524421112817,2738508954687,-0.30645782,1.2545617,9.433155
android.sensor.accelerometer,1524421112837,2738528945312,-0.30645782,1.1875241,9.481039
android.sensor.accelerometer,1524421112857,2738548937500,-0.21068975,1.1875241,9.624691
android.sensor.accelerometer,1524421112877,2738568959375,-0.18195933,1.13964,9.835381
android.sensor.accelerometer,1524421112897,2738588950000,-0.36391866,1.1779473,9.950302
android.sensor.accelerometer,1524421112917,2738608940625,-0.37349546,1.2066777,9.950302
android.sensor.accelerometer,1524421112937,2738628931250,-0.2873042,1.1779473,9.873688
android.sensor.accelerometer,1524421112957,2738648954687,-0.4309563,1.3215994,9.77792
android.sensor.accelerometer,1524421112977,2738668943750,-0.59376204,1.436521,9.682152
android.sensor.accelerometer,1524421112997,2738688935937,-0.51714754,1.3982137,9.643845
android.sensor.accelerometer,1524421113017,2738708957812,-0.4309563,1.3790601,9.653421
android.sensor.accelerometer,1524421113037,2738728950000,-0.4309563,1.388637,9.615114
android.sensor.accelerometer,1524421113057,2738748939062,-0.37349546,1.3503298,9.595961
android.sensor.accelerometer,1524421113077,2738768931250,-0.33518824,1.3215994,9.595961
android.sensor.accelerometer,1524421113097,2738788953125,-0.39264908,1.3024458,9.624691
android.sensor.accelerometer,1524421113117,2738808943750,-0.4309563,1.3215994,9.691729
android.sensor.accelerometer,1524421113137,2738828934375,-0.41180268,1.292869,9.749189
android.sensor.accelerometer,1524421113157,2738848956250,-0.37349546,1.2545617,9.730036
android.sensor.accelerometer,1524421113177,2738868946875,-0.38307226,1.2258313,9.80665
android.sensor.accelerometer,1524421113197,2738888939062,-0.2681506,1.2162545,9.77792
android.sensor.accelerometer,1524421113217,2738908960937,-0.2681506,1.1587936,9.902418
android.sensor.accelerometer,1524421113237,2738928951562,-0.33518824,1.1971009,9.921572
android.sensor.accelerometer,1524421113257,2738948942187,-0.34476504,1.2545617,9.80665
android.sensor.accelerometer,1524421113277,2738968934375,-0.4405331,1.3024458,9.739613
android.sensor.accelerometer,1524421113297,2738988956250,-0.45010993,1.340753,9.653421
android.sensor.accelerometer,1524421113317,2739008946875,-0.31603462,1.3311762,9.605537
android.sensor.accelerometer,1524421113337,2739028937500,-0.33518824,1.3120226,9.662998
android.sensor.accelerometer,1524421113357,2739048960937,-0.34476504,1.292869,9.643845
android.sensor.accelerometer,1524421113377,2739068951562,-0.39264908,1.3311762,9.730036
android.sensor.accelerometer,1524421113397,2739088942187,-0.38307226,1.3120226,9.672575
android.sensor.accelerometer,1524421113417,2739108932812,-0.32561144,1.3215994,9.634268
android.sensor.accelerometer,1524421113437,2739128954687,-0.31603462,1.3120226,9.720459
android.sensor.accelerometer,1524421113457,2739148945312,-0.2681506,1.2737153,9.749189
android.sensor.accelerometer,1524421113477,2739168937500,-0.2873042,1.2258313,9.720459
android.sensor.accelerometer,1524421113497,2739188959375,-0.32561144,1.1971009,9.720459
android.sensor.accelerometer,1524421113517,2739208950000,-0.33518824,1.2641385,9.682152
android.sensor.accelerometer,1524421113537,2739228940625,-0.35434186,1.3215994,9.730036
android.sensor.accelerometer,1524421113557,2739248931250,-0.22026655,1.2258313,9.797073
android.sensor.accelerometer,1524421113577,2739268954687,-0.31603462,1.2354081,9.730036
android.sensor.accelerometer,1524421113597,2739288945312,-0.48841715,1.3599066,9.643845
android.sensor.accelerometer,1524421113617,2739308935937,-0.47884035,1.3024458,9.615114
android.sensor.accelerometer,1524421113637,2739328957812,-0.36391866,1.292869,9.653421
android.sensor.accelerometer,1524421113657,2739348950000,-0.51714754,1.3694834,9.768343
android.sensor.accelerometer,1524421113677,2739368940625,-0.5363012,1.3694834,9.797073
android.sensor.accelerometer,1524421113697,2739388931250,-0.545878,1.3599066,9.749189
android.sensor.accelerometer,1524421113717,2739408953125,-0.50757074,1.3790601,9.682152
android.sensor.accelerometer,1524421113737,2739428943750,-0.545878,1.3790601,9.835381
android.sensor.accelerometer,1524421113757,2739448934375,-0.46926352,1.292869,9.844957
android.sensor.accelerometer,1524421113777,2739468957812,-0.51714754,1.3311762,9.825804
android.sensor.accelerometer,1524421113797,2739488948437,-0.62249243,1.4173675,9.854534
android.sensor.accelerometer,1524421113817,2739508939062,-0.51714754,1.388637,9.720459
android.sensor.accelerometer,1524421113837,2739528929687,-0.49799395,1.4556746,9.662998
android.sensor.accelerometer,1524421113857,2739548953125,-0.48841715,1.4556746,9.682152
android.sensor.accelerometer,1524421113877,2739568943750,-0.48841715,1.3790601,9.730036
android.sensor.accelerometer,1524421113897,2739588934375,-0.5650316,1.4652514,9.624691
android.sensor.accelerometer,1524421113917,2739608956250,-0.545878,1.4556746,9.605537
android.sensor.accelerometer,1524421113937,2739628946875,-0.49799395,1.4077905,9.528923
android.sensor.accelerometer,1524421113957,2739648939062,-0.5650316,1.4269443,9.528923
android.sensor.accelerometer,1524421113977,2739668960937,-0.5650316,1.4077905,9.605537
android.sensor.accelerometer,1524421113997,2739688951562,-0.47884035,1.3599066,9.710882
android.sensor.accelerometer,1524421114017,2739708942187,-0.5554548,1.3694834,9.787497
android.sensor.accelerometer,1524421114037,2739728932812,-0.6799533,1.4748282,9.720459
android.sensor.accelerometer,1524421114057,2739748954687,-0.51714754,1.2162545,10.007763
