Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524421124117,2749808957812,-0.00572468,0.014992379,0.076358154
android.sensor.gyroscope,1524421124137,2749828948437,-0.0109083075,0.010088003,0.054262288
android.sensor.gyroscope,1524421124157,2749848939062,-0.016074482,0.013631022,0.07497934
android.sensor.gyroscope,1524421124177,2749868931250,-0.038990654,0.004363323,0.0049043754
android.sensor.gyroscope,1524421124197,2749888953125,-0.02125811,-0.007906342,-0.06462954
android.sensor.gyroscope,1524421124217,2749908943750,-0.017715093,-0.0070860367,-0.05290093
android.sensor.gyroscope,1524421124237,2749928934375,-0.012269665,-0.012531464,-0.085887656
android.sensor.gyroscope,1524421124258,2749948956250,-0.006806784,-0.017715093,-0.16062266
android.sensor.gyroscope,1524421124277,2749968948437,-0.0019024089,-0.022078415,-0.23043582
android.sensor.gyroscope,1524421124298,2749988939062,-0.0019024089,-0.019634955,-0.20343557
android.sensor.gyroscope,1524421124317,2750008960937,-0.0019024089,-0.018256145,-0.1868026
android.sensor.gyroscope,1524421124337,2750028951562,-0.0016231562,-0.016353736,-0.16498597
android.sensor.gyroscope,1524421124357,2750048942187,-0.0013613568,-0.014451326,-0.14561282
android.sensor.gyroscope,1524421124377,2750068934375,-0.002443461,-0.01144936,-0.1227141
android.sensor.gyroscope,1524421124397,2750088956250,-0.00408407,-0.008726646,-0.05534439
android.sensor.gyroscope,1524421124417,2750108946875,-0.009267698,-0.017453292,-0.03408628
android.sensor.gyroscope,1524421124438,2750128937500,0.0,0.0,0.0
android.sensor.gyroscope,1524421124458,2750148959375,-0.0076270886,-0.00408407,0.055623643
android.sensor.gyroscope,1524421124478,2750168951562,-0.009808751,0.00408407,0.110444434
android.sensor.gyroscope,1524421124498,2750188942187,-0.00572468,0.0032637657,0.07771951
android.sensor.gyroscope,1524421124518,2750208932812,-0.0054454273,0.0035430184,0.07771951
android.sensor.gyroscope,1524421124538,2750228954687,-0.007906342,0.010629055,0.11698942
android.sensor.gyroscope,1524421124558,2750248945312,-0.007347836,0.009267698,0.103620194
android.sensor.gyroscope,1524421124577,2750268937500,-0.009267698,0.0155334305,0.13988814
android.sensor.gyroscope,1524421124598,2750288959375,-0.017174039,0.019634955,0.1595231
android.sensor.gyroscope,1524421124617,2750308950000,-0.017715093,0.023439772,0.18107791
android.sensor.gyroscope,1524421124637,2750328940625,-0.016074482,0.020996312,0.16362461
