Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524420615395,2241085937500,-8.0924015,1.6280571,5.583278
android.sensor.accelerometer,1524420615414,2241105959375,-7.920019,1.532289,5.717354
android.sensor.accelerometer,1524420615434,2241125950000,-7.824251,1.484405,5.554548
android.sensor.accelerometer,1524420615454,2241145942187,-7.9391727,1.5801731,5.535394
android.sensor.accelerometer,1524420615474,2241165932812,-8.025364,1.5801731,5.5258174
android.sensor.accelerometer,1524420615494,2241185954687,-8.101978,1.5514427,5.592855
android.sensor.accelerometer,1524420615514,2241205945312,-8.293514,1.685518,5.449203
android.sensor.accelerometer,1524420615534,2241225937500,-8.360553,1.6950948,5.45878
android.sensor.accelerometer,1524420615554,2241245957812,-8.331821,1.6663644,5.4204726
android.sensor.accelerometer,1524420615574,2241265950000,-8.149862,1.5514427,5.659893
android.sensor.accelerometer,1524420615594,2241285940625,-7.9104424,1.484405,5.554548
android.sensor.accelerometer,1524420615614,2241305931250,-7.785944,1.4652514,5.497087
android.sensor.accelerometer,1524420615634,2241325953125,-7.824251,1.4652514,5.7269306
android.sensor.accelerometer,1524420615654,2241345943750,-7.967903,1.541866,5.5737014
android.sensor.accelerometer,1524420615674,2241365935937,-7.7572136,1.4173675,5.5258174
android.sensor.accelerometer,1524420615694,2241385957812,-7.7572136,1.4077905,5.5162406
android.sensor.accelerometer,1524420615714,2241405950000,-7.575254,1.3024458,5.45878
android.sensor.accelerometer,1524420615734,2241425939062,-7.536947,1.2545617,5.554548
android.sensor.accelerometer,1524420615754,2241445931250,-7.565677,1.2354081,5.861006
android.sensor.accelerometer,1524420615774,2241465953125,-7.690176,1.2641385,5.985504
android.sensor.accelerometer,1524420615794,2241485943750,-7.795521,1.3024458,5.9184666
android.sensor.accelerometer,1524420615814,2241505934375,-7.881712,1.3503298,5.631162
android.sensor.accelerometer,1524420615834,2241525956250,-7.9391727,1.3790601,5.2863975
android.sensor.accelerometer,1524420615854,2241545948437,-8.178593,1.436521,4.9703627
android.sensor.accelerometer,1524420615874,2241565937500,-8.475474,1.1683705,5.1810527
android.sensor.accelerometer,1524420615894,2241585960937,-8.322245,1.1492168,5.5258174
android.sensor.accelerometer,1524420615914,2241605951562,-7.97748,1.1683705,5.0661306
android.sensor.accelerometer,1524420615934,2241625942187,-8.226477,1.0342951,4.951209
android.sensor.accelerometer,1524420615955,2241645932812,-8.7053175,1.3503298,5.142745
android.sensor.accelerometer,1524420615974,2241665954687,-8.944737,1.283292,5.2959743
android.sensor.accelerometer,1524420615994,2241685946875,-8.801085,1.388637,4.960786
android.sensor.accelerometer,1524420616014,2241705937500,-8.7532015,1.3311762,4.9224787
android.sensor.accelerometer,1524420616035,2241725959375,-8.542512,1.1875241,4.8362875
android.sensor.accelerometer,1524420616054,2241745951562,-8.599973,1.1683705,4.596867
android.sensor.accelerometer,1524420616074,2241765942187,-9.040505,1.2258313,4.261679
android.sensor.accelerometer,1524420616095,2241785932812,-9.5385,1.0151415,3.8402996
android.sensor.accelerometer,1524420616115,2241805954687,-9.768343,0.8331822,3.5625722
android.sensor.accelerometer,1524420616134,2241825945312,-10.151415,0.59376204,2.930503
android.sensor.accelerometer,1524420616154,2241845937500,-10.745177,0.45968673,1.3982137
android.sensor.accelerometer,1524420616175,2241865959375,-11.836933,0.5650316,0.60333884
android.sensor.accelerometer,1524420616195,2241885950000,-12.909535,0.78529817,-1.1109096
android.sensor.accelerometer,1524420616215,2241905940625,-13.168109,0.51714754,-3.1603463
android.sensor.accelerometer,1524420616235,2241925932812,-11.980585,-0.6607997,-3.5434184
android.sensor.accelerometer,1524420616256,2241945954687,-12.248735,-1.2641385,-2.8060043
android.sensor.accelerometer,1524420616275,2241965945312,-12.823344,-1.8004397,-2.3558946
android.sensor.accelerometer,1524420616295,2241985935937,-12.74673,-2.4229321,-2.5474305
android.sensor.accelerometer,1524420616314,2242005957812,-13.713987,-2.566584,-1.8866309
android.sensor.accelerometer,1524420616334,2242025948437,-14.279019,-3.0933087,-2.087744
android.sensor.accelerometer,1524420616354,2242045939062,-14.432248,-3.8498764,-2.4229321
android.sensor.accelerometer,1524420616374,2242065931250,-14.614207,-4.663905,-2.6431987
android.sensor.accelerometer,1524420616394,2242085953125,-15.140931,-5.793968,-2.078167
android.sensor.accelerometer,1524420616414,2242105943750,-17.30529,-5.8226986,-2.27928
android.sensor.accelerometer,1524420616434,2242125934375,-18.933348,-6.167464,-4.280833
android.sensor.accelerometer,1524420616454,2242145956250,-18.579004,-8.360553,-4.7405195
android.sensor.accelerometer,1524420616474,2242165948437,-16.46253,-12.5743475,-3.5338416
android.sensor.accelerometer,1524420616494,2242185937500,-11.444284,-17.707516,4.4723687
android.sensor.accelerometer,1524420616514,2242205960937,-8.121132,-18.732235,18.05228
android.sensor.accelerometer,1524420616534,2242225951562,-5.48751,-16.108189,29.60191
android.sensor.accelerometer,1524420616554,2242245942187,-2.384625,-11.166556,30.511707
android.sensor.accelerometer,1524420616574,2242265932812,1.13964,-7.28795,22.97476
android.sensor.accelerometer,1524420616594,2242285956250,3.1890767,-5.1810527,16.338032
android.sensor.accelerometer,1524420616614,2242305946875,-0.16280572,-2.825158,13.637373
android.sensor.accelerometer,1524420616634,2242325937500,-6.0142345,0.18195933,10.5919485
android.sensor.accelerometer,1524420616654,2242345959375,-9.030929,1.9057846,6.933608
android.sensor.accelerometer,1524420616674,2242365951562,-8.159439,1.9919758,4.414908
android.sensor.accelerometer,1524420616694,2242385940625,-7.469909,1.5993267,4.4819455
android.sensor.accelerometer,1524420616714,2242405932812,-6.8665705,1.7717092,4.5681367
android.sensor.accelerometer,1524420616734,2242425954687,-6.655881,2.1068976,4.510676
android.sensor.accelerometer,1524420616754,2242445945312,-6.540959,2.2409728,4.4244847
android.sensor.accelerometer,1524420616774,2242465935937,-7.642292,2.3463178,4.951209
android.sensor.accelerometer,1524420616794,2242485959375,-8.456321,2.767697,4.7788267
android.sensor.accelerometer,1524420616814,2242505950000,-9.375694,3.2752678,4.5872903
android.sensor.accelerometer,1524420616834,2242525940625,-9.021352,3.4859576,4.8458643
android.sensor.accelerometer,1524420616854,2242545931250,-8.437167,3.3614593,5.00867
android.sensor.accelerometer,1524420616874,2242565954687,-6.5505357,2.777274,6.847417
android.sensor.accelerometer,1524420616894,2242585945312,-4.213795,0.7182605,3.083732
android.sensor.accelerometer,1524420616914,2242605935937,-6.540959,2.834735,4.8745947
android.sensor.accelerometer,1524420616934,2242625957812,-7.833828,3.41892,7.240066
android.sensor.accelerometer,1524420616954,2242645950000,-7.680599,2.2984335,8.791509
android.sensor.accelerometer,1524420616974,2242665939062,-8.580819,2.0973208,11.271901
android.sensor.accelerometer,1524420616994,2242685931250,-7.967903,1.4748282,14.039598
android.sensor.accelerometer,1524420617014,2242705953125,-5.5737014,0.6991069,12.239159
android.sensor.accelerometer,1524420617034,2242725943750,-4.8745947,1.2162545,9.030929
android.sensor.accelerometer,1524420617054,2242745934375,-5.5162406,2.6910827,5.391742
android.sensor.accelerometer,1524420617074,2242765956250,-6.579266,4.711789,4.510676
android.sensor.accelerometer,1524420617094,2242785948437,-5.90889,4.3957543,6.339846
android.sensor.accelerometer,1524420617114,2242805939062,-4.510676,3.3806129,7.4124484
android.sensor.accelerometer,1524420617134,2242825960937,-4.1946416,2.2888567,7.5944076
android.sensor.accelerometer,1524420617154,2242845951562,-4.0892963,2.3175871,8.1402855
android.sensor.accelerometer,1524420617174,2242865943750,-4.8937483,3.371036,8.169016
android.sensor.accelerometer,1524420617194,2242885934375,-5.056554,4.3478703,7.4986396
android.sensor.accelerometer,1524420617214,2242905956250,-4.7405195,4.55856,7.517793
android.sensor.accelerometer,1524420617234,2242925948437,-3.3327289,3.3423057,7.603985
android.sensor.accelerometer,1524420617254,2242945937500,-2.96881,3.1890767,8.169016
android.sensor.accelerometer,1524420617274,2242965960937,-3.4763808,3.7349546,7.73806
android.sensor.accelerometer,1524420617294,2242985951562,-3.5434184,4.3382936,7.326257
android.sensor.accelerometer,1524420617314,2243005942187,-3.016694,3.9456444,7.565677
android.sensor.accelerometer,1524420617334,2243025932812,-2.6048915,4.012682,7.747637
android.sensor.accelerometer,1524420617354,2243045954687,-2.2697031,4.2425256,7.335834
android.sensor.accelerometer,1524420617374,2243065945312,-2.3175871,4.673482,6.9048777
android.sensor.accelerometer,1524420617394,2243085935937,-2.6623523,4.156334,7.6135616
android.sensor.accelerometer,1524420617414,2243105959375,-3.0358477,4.213795,8.073248
android.sensor.accelerometer,1524420617435,2243125950000,-2.767697,4.501099,8.025364
