Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524420604596,2230285957812,-4.6485624,0.079080865,3.6081889
android.sensor.gyroscope,1524420604616,2230305948437,-4.7363873,0.14779449,3.7715344
android.sensor.gyroscope,1524420604637,2230325939062,-4.882,0.27815312,4.00389
android.sensor.gyroscope,1524420604656,2230345929687,-6.0132003,0.60730475,5.3865223
android.sensor.gyroscope,1524420604676,2230365953125,-8.774643,1.0076483,8.937448
android.sensor.gyroscope,1524420604696,2230385943750,8.284851,1.0160958,10.072173
android.sensor.gyroscope,1524420604716,2230405934375,8.430743,0.9424778,9.88619
android.sensor.gyroscope,1524420604736,2230425957812,8.88671,0.8718443,9.274505
android.sensor.gyroscope,1524420604756,2230445948437,-8.346217,0.8107578,8.47874
android.sensor.gyroscope,1524420604776,2230465939062,-7.695802,0.76139987,7.7162576
android.sensor.gyroscope,1524420604796,2230485960937,-7.0721264,0.7275754,6.9851217
android.sensor.gyroscope,1524420604816,2230505951562,-6.460441,0.6866649,6.3142695
android.sensor.gyroscope,1524420604836,2230525943750,-5.863207,0.63922685,5.697121
android.sensor.gyroscope,1524420604856,2230545934375,-5.3595223,0.61086524,5.1568894
android.sensor.gyroscope,1524420604876,2230565956250,-4.9447274,0.62531656,4.6720195
android.sensor.gyroscope,1524420604896,2230585946875,-4.76337,0.82657045,4.319411
android.sensor.gyroscope,1524420604916,2230605937500,-4.491221,0.9487435,3.9970658
android.sensor.gyroscope,1524420604936,2230625959375,-4.157427,1.0054667,3.6938148
android.sensor.gyroscope,1524420604956,2230645951562,-3.7859857,0.9781872,3.3766537
android.sensor.gyroscope,1524420604976,2230665940625,-3.4358377,0.9544682,3.0911353
android.sensor.gyroscope,1524420604996,2230685932812,-3.2373066,1.0744596,3.1233191
android.sensor.gyroscope,1524420605016,2230705954687,-2.95205,1.0477386,3.0065913
android.sensor.gyroscope,1524420605036,2230725945312,-2.6452558,0.9435599,2.7731535
android.sensor.gyroscope,1524420605056,2230745935937,-2.3793724,0.8592954,2.6038043
android.sensor.gyroscope,1524420605076,2230765959375,-2.1331065,0.73521996,2.4775472
android.sensor.gyroscope,1524420605096,2230785950000,-1.9184834,0.5126905,2.4423614
android.sensor.gyroscope,1524420605116,2230805940625,-1.7175087,0.26888543,2.3466475
android.sensor.gyroscope,1524420605136,2230825932812,-1.5407941,0.046617743,2.2211933
android.sensor.gyroscope,1524420605156,2230845954687,-1.3938025,-0.15243706,2.1211162
android.sensor.gyroscope,1524420605176,2230865943750,-1.2721705,-0.34278268,2.0335703
android.sensor.gyroscope,1524420605196,2230885935937,-1.1739957,-0.51731557,1.9580325
android.sensor.gyroscope,1524420605216,2230905957812,-1.0842857,-0.68776447,1.8617601
android.sensor.gyroscope,1524420605236,2230925948437,-1.0021855,-0.84048074,1.7534974
android.sensor.gyroscope,1524420605256,2230945940625,-0.91738,-0.89992666,1.6029627
android.sensor.gyroscope,1524420605276,2230965931250,-0.84892815,-0.88601637,1.4892546
android.sensor.gyroscope,1524420605296,2230985953125,-0.79929096,-0.86720175,1.4003475
android.sensor.gyroscope,1524420605316,2231005943750,-0.7668453,-0.8224864,1.3373586
android.sensor.gyroscope,1524420605336,2231025935937,-0.7267551,-0.77257,1.2675453
android.sensor.gyroscope,1524420605356,2231045957812,-0.67767644,-0.7253937,1.1794586
android.sensor.gyroscope,1524420605376,2231065948437,-0.6154904,-0.67685616,1.0804635
android.sensor.gyroscope,1524420605396,2231085939062,-0.5508608,-0.61330867,0.9626538
android.sensor.gyroscope,1524420605416,2231105960937,-0.47396162,-0.53558916,0.81047857
android.sensor.gyroscope,1524420605436,2231125951562,-0.38423422,-0.44095743,0.62095326
android.sensor.gyroscope,1524420605456,2231145943750,-0.18624409,-0.105260804,0.17153096
android.sensor.gyroscope,1524420605476,2231165934375,-0.08234464,0.208881,0.025359634
android.sensor.gyroscope,1524420605496,2231185956250,0.010088003,0.5429545,-0.12189379
android.sensor.gyroscope,1524420605516,2231205946875,0.09599311,0.8393812,-0.29670596
android.sensor.gyroscope,1524420605536,2231225937500,0.16879079,1.1246378,-0.43605307
android.sensor.gyroscope,1524420605556,2231245959375,0.22279128,1.3752496,-0.560687
android.sensor.gyroscope,1524420605576,2231265950000,0.2609791,1.550341,-0.72021013
android.sensor.gyroscope,1524420605596,2231285942187,0.2928837,1.6776978,-0.89884454
android.sensor.gyroscope,1524420605616,2231305932812,0.31169835,1.6790591,-1.0897312
android.sensor.gyroscope,1524420605637,2231325954687,0.32342696,1.6130507,-1.2669868
android.sensor.gyroscope,1524420605656,2231345945312,0.3569722,1.504247,-1.4827095
android.sensor.gyroscope,1524420605676,2231365935937,0.39842376,1.3728062,-1.6719556
android.sensor.gyroscope,1524420605696,2231385959375,0.44914302,1.1156319,-1.8222284
android.sensor.gyroscope,1524420605716,2231405950000,0.5374916,0.7234913,-1.9386768
android.sensor.gyroscope,1524420605737,2231425940625,0.65966463,0.3177023,-2.0204804
android.sensor.gyroscope,1524420605756,2231445931250,0.81484187,-0.011711159,-2.1153915
android.sensor.gyroscope,1524420605776,2231465954687,0.9773844,-0.19442968,-2.2258358
android.sensor.gyroscope,1524420605796,2231485943750,1.12846,-0.2718874,-2.3174655
android.sensor.gyroscope,1524420605816,2231505935937,1.2340001,-0.2713289,-2.3261924
android.sensor.gyroscope,1524420605836,2231525957812,1.2465316,-0.21352358,-2.190109
android.sensor.gyroscope,1524420605856,2231545950000,1.2626235,-0.14671238,-2.0567484
