Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524420750898,2376585954687,0.24899697,9.624691,1.5131354
android.sensor.accelerometer,1524420750914,2376605945312,0.31603462,9.595961,1.5801731
android.sensor.accelerometer,1524420750934,2376625935937,0.18195933,9.691729,1.6950948
android.sensor.accelerometer,1524420750954,2376645959375,0.20111294,9.730036,1.5993267
android.sensor.accelerometer,1524420750974,2376665948437,0.39264908,9.672575,1.436521
android.sensor.accelerometer,1524420750994,2376685940625,0.25857377,9.797073,1.532289
android.sensor.accelerometer,1524420751014,2376705931250,0.37349546,9.662998,1.6472107
android.sensor.accelerometer,1524420751034,2376725953125,0.39264908,9.643845,1.8004397
android.sensor.accelerometer,1524420751054,2376745943750,0.4309563,9.624691,1.9536686
android.sensor.accelerometer,1524420751074,2376765935937,0.38307226,9.758766,1.7908629
android.sensor.accelerometer,1524420751094,2376785957812,0.37349546,9.720459,1.8004397
android.sensor.accelerometer,1524420751114,2376805950000,0.61291564,9.56723,1.9153614
android.sensor.accelerometer,1524420751134,2376825939062,0.7278373,9.423578,1.9249382
android.sensor.accelerometer,1524420751154,2376845931250,0.5554548,9.500193,2.0973208
android.sensor.accelerometer,1524420751174,2376865953125,0.25857377,9.653421,1.8962077
android.sensor.accelerometer,1524420751194,2376885943750,0.1436521,9.749189,1.7525556
android.sensor.accelerometer,1524420751214,2376905934375,0.16280572,9.739613,1.5801731
android.sensor.accelerometer,1524420751234,2376925956250,0.16280572,9.710882,1.4652514
android.sensor.accelerometer,1524420751254,2376945948437,0.23942018,9.624691,1.6089035
android.sensor.accelerometer,1524420751274,2376965939062,0.095768064,9.653421,1.388637
android.sensor.accelerometer,1524420751294,2376985960937,0.076614454,9.519346,1.6376339
android.sensor.accelerometer,1524420751314,2377005951562,-0.038307227,9.279925,2.0973208
android.sensor.accelerometer,1524420751334,2377025942187,-0.25857377,8.983045,2.7006595
android.sensor.accelerometer,1524420751354,2377045934375,-0.33518824,8.485051,2.7389667
android.sensor.accelerometer,1524420751374,2377065956250,0.2873042,7.8625584,2.5761611
android.sensor.accelerometer,1524420751394,2377085946875,0.82360536,7.7189064,3.3135753
android.sensor.accelerometer,1524420751414,2377105937500,1.0630256,8.025364,4.2904096
android.sensor.accelerometer,1524420751434,2377125960937,0.6799533,8.532935,3.8786068
android.sensor.accelerometer,1524420751454,2377145951562,0.5650316,9.088389,2.767697
android.sensor.accelerometer,1524420751474,2377165940625,0.842759,8.762778,3.1316159
android.sensor.accelerometer,1524420751494,2377185932812,0.33518824,8.896853,4.8458643
android.sensor.accelerometer,1524420751514,2377205954687,-0.842759,8.973468,4.951209
android.sensor.accelerometer,1524420751534,2377225945312,-1.5897499,9.155427,4.357447
android.sensor.accelerometer,1524420751554,2377245935937,-1.5610195,9.375694,4.8362875
android.sensor.accelerometer,1524420751574,2377265959375,-0.49799395,9.030929,6.0621185
android.sensor.accelerometer,1524420751594,2377285950000,0.076614454,8.954314,6.7612257
android.sensor.accelerometer,1524420751614,2377305940625,1.9728222,8.848969,7.642292
android.sensor.accelerometer,1524420751634,2377325932812,1.8483237,8.465898,7.603985
android.sensor.accelerometer,1524420751654,2377345954687,2.3654714,7.8146744,7.785944
android.sensor.accelerometer,1524420751674,2377365945312,2.9879637,7.2113357,8.619126
android.sensor.accelerometer,1524420751694,2377385935937,2.1739352,7.9104424,9.097966
android.sensor.accelerometer,1524420751714,2377405957812,1.13964,8.24563,9.232041
android.sensor.accelerometer,1524420751734,2377425950000,0.076614454,8.475474,9.289502
android.sensor.accelerometer,1524420751754,2377445940625,-0.20111294,8.456321,8.312668
android.sensor.accelerometer,1524420751774,2377465931250,0.7374141,7.9583263,9.059659
android.sensor.accelerometer,1524420751794,2377485953125,1.0151415,8.034941,9.471462
android.sensor.accelerometer,1524420751814,2377505943750,1.1683705,8.054094,9.251195
