Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524420743719,2369405959375,0.0019024089,0.023719024,0.031625368
android.sensor.gyroscope,1524420743736,2369425950000,0.0027227136,0.033807028,0.044715334
android.sensor.gyroscope,1524420743756,2369445940625,0.0021816615,0.048799407,0.047717303
android.sensor.gyroscope,1524420743776,2369465931250,0.0016231562,0.043074727,0.053162728
android.sensor.gyroscope,1524420743796,2369485954687,0.0010821042,0.029722957,0.047717303
android.sensor.gyroscope,1524420743816,2369505945312,8.0285146E-4,0.03080506,0.046896998
android.sensor.gyroscope,1524420743836,2369525935937,0.0054454273,0.019896753,0.033807028
android.sensor.gyroscope,1524420743856,2369545957812,0.0051661744,0.0013613568,0.055902895
android.sensor.gyroscope,1524420743876,2369565950000,0.0010821042,-0.00408407,0.03926991
android.sensor.gyroscope,1524420743896,2369585940625,0.0019024089,-0.031625368,0.060528018
android.sensor.gyroscope,1524420743916,2369605931250,0.0019024089,-0.04363323,0.052621678
android.sensor.gyroscope,1524420743936,2369625953125,0.0016231562,-0.059986968,0.049619712
android.sensor.gyroscope,1524420743956,2369645943750,0.0,0.0,0.0
android.sensor.gyroscope,1524420743976,2369665935937,-0.013631022,0.007906342,0.03626794
android.sensor.gyroscope,1524420743996,2369685957812,-0.03817035,0.030264009,0.047996555
android.sensor.gyroscope,1524420744016,2369705948437,-0.06981317,0.032166418,0.041992623
android.sensor.gyroscope,1524420744037,2369725939062,-0.06843436,0.027541295,0.025080381
android.sensor.gyroscope,1524420744056,2369745960937,-0.11534881,0.040631264,0.014451326
android.sensor.gyroscope,1524420744076,2369765951562,-0.13852678,0.06298893,0.0010821042
android.sensor.gyroscope,1524420744096,2369785943750,-0.14507176,0.09843657,-0.0049043754
android.sensor.gyroscope,1524420744117,2369805934375,-0.15161675,0.10988593,-0.010629055
android.sensor.gyroscope,1524420744137,2369825956250,-0.15079644,0.118350774,-0.010349803
android.sensor.gyroscope,1524420744156,2369845946875,-0.16088445,0.11126474,-0.009267698
android.sensor.gyroscope,1524420744176,2369865939062,-0.17889625,0.08916887,-0.010629055
android.sensor.gyroscope,1524420744196,2369885960937,-0.21216223,0.06517059,-0.008988446
android.sensor.gyroscope,1524420744217,2369905951562,-0.24242623,0.053441983,-0.002443461
android.sensor.gyroscope,1524420744237,2369925942187,-0.27351055,0.057264253,0.0021816615
android.sensor.gyroscope,1524420744256,2369945932812,-0.30815533,0.059166662,0.012269665
android.sensor.gyroscope,1524420744276,2369965956250,-0.3395189,0.018256145,0.0109083075
