Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524420654576,2280265959375,-9.739613,1.1971009,1.7908629
android.sensor.accelerometer,1524420654594,2280285950000,-9.490616,0.8810662,1.9632454
android.sensor.accelerometer,1524420654614,2280305940625,-9.519346,0.90979666,2.0685902
android.sensor.accelerometer,1524420654634,2280325931250,-9.643845,1.0630256,2.2601264
android.sensor.accelerometer,1524420654654,2280345954687,-9.768343,1.1204864,2.183512
android.sensor.accelerometer,1524420654674,2280365943750,-9.797073,1.1971009,1.7046716
android.sensor.accelerometer,1524420654694,2280385935937,-9.730036,1.1587936,1.5514427
android.sensor.accelerometer,1524420654714,2280405957812,-9.634268,1.0151415,1.8004397
android.sensor.accelerometer,1524420654734,2280425948437,-9.557653,0.9576807,2.0398598
android.sensor.accelerometer,1524420654754,2280445940625,-9.720459,1.1204864,2.0111294
android.sensor.accelerometer,1524420654774,2280465931250,-9.797073,1.1779473,1.7429788
android.sensor.accelerometer,1524420654794,2280485953125,-9.768343,1.1587936,1.7142484
android.sensor.accelerometer,1524420654814,2280505943750,-9.720459,1.1204864,1.7717092
android.sensor.accelerometer,1524420654834,2280525934375,-9.528923,0.92895025,1.982399
android.sensor.accelerometer,1524420654854,2280545956250,-9.519346,0.89064306,2.0494366
android.sensor.accelerometer,1524420654874,2280565948437,-9.739613,1.1109096,1.7142484
android.sensor.accelerometer,1524420654894,2280585939062,-9.634268,1.1300632,1.4652514
android.sensor.accelerometer,1524420654914,2280605960937,-9.3661175,0.9959879,1.733402
android.sensor.accelerometer,1524420654934,2280625951562,-9.088389,0.93852705,1.7429788
android.sensor.accelerometer,1524420654954,2280645942187,-8.848969,0.93852705,1.6184803
android.sensor.accelerometer,1524420654974,2280665934375,-9.260772,1.292869,1.9249382
android.sensor.accelerometer,1524420654994,2280685956250,-9.184157,1.340753,2.920926
android.sensor.accelerometer,1524420655014,2280705946875,-9.002198,1.340753,3.8594532
android.sensor.accelerometer,1524420655034,2280725937500,-8.341399,1.1779473,4.6926355
android.sensor.accelerometer,1524420655054,2280745959375,-8.341399,1.2354081,6.0621185
android.sensor.accelerometer,1524420655074,2280765951562,-8.561666,1.0821792,8.7053175
android.sensor.accelerometer,1524420655094,2280785942187,-8.781932,0.90979666,10.247183
android.sensor.accelerometer,1524420655114,2280805932812,-8.42759,0.39264908,10.620679
android.sensor.accelerometer,1524420655134,2280825954687,-8.552089,-0.29688102,11.271901
android.sensor.accelerometer,1524420655154,2280845946875,-9.184157,-1.043872,12.593501
android.sensor.accelerometer,1524420655174,2280865937500,-9.500193,-1.9919758,13.129802
android.sensor.accelerometer,1524420655194,2280885959375,-9.749189,-2.6910827,12.440272
android.sensor.accelerometer,1524420655214,2280905950000,-10.237606,-2.9496565,11.128249
android.sensor.accelerometer,1524420655234,2280925940625,-11.003751,-3.3901896,10.362105
android.sensor.accelerometer,1524420655254,2280945931250,-12.210428,-3.5913026,8.523358
android.sensor.accelerometer,1524420655274,2280965954687,-13.206416,-3.715801,3.5051112
android.sensor.accelerometer,1524420655294,2280985945312,-13.9438305,-3.8115692,2.6623523
android.sensor.accelerometer,1524420655314,2281005935937,-14.173674,-3.7253778,3.4955344
android.sensor.accelerometer,1524420655334,2281025957812,-14.777013,-3.1507695,-2.0111294
android.sensor.accelerometer,1524420655354,2281045950000,-15.514427,-2.2218192,-4.855441
android.sensor.accelerometer,1524420655374,2281065940625,-14.748282,-1.4748282,-3.8402996
android.sensor.accelerometer,1524420655394,2281085931250,-11.865664,-1.8483237,-5.4683566
android.sensor.accelerometer,1524420655414,2281105953125,-9.471462,-1.9057846,-5.209783
android.sensor.accelerometer,1524420655434,2281125943750,-7.326257,-2.4516625,-3.3518825
android.sensor.accelerometer,1524420655454,2281145934375,-8.810662,-2.0494366,-4.8362875
android.sensor.accelerometer,1524420655475,2281165957812,-9.911995,-1.1013328,-4.0701427
android.sensor.accelerometer,1524420655494,2281185948437,-10.429143,-0.8714894,-2.327164
android.sensor.accelerometer,1524420655514,2281205939062,-10.7356,-1.0055647,-3.083732
android.sensor.accelerometer,1524420655534,2281225960937,-10.802638,-0.5267244,-2.882619
android.sensor.accelerometer,1524420655554,2281245951562,-10.563218,-0.31603462,-1.7238252
android.sensor.accelerometer,1524420655574,2281265942187,-9.749189,-0.39264908,0.11492168
android.sensor.accelerometer,1524420655594,2281285934375,-8.801085,-0.9959879,0.39264908
android.sensor.accelerometer,1524420655614,2281305956250,-9.107543,-0.32561144,-1.2258313
android.sensor.accelerometer,1524420655634,2281325946875,-9.682152,0.39264908,0.36391866
android.sensor.accelerometer,1524420655654,2281345939062,-9.279925,0.2777274,0.46926352
android.sensor.accelerometer,1524420655674,2281365960937,-9.270349,0.095768064,0.51714754
android.sensor.accelerometer,1524420655694,2281385951562,-9.461885,0.45968673,1.3694834
android.sensor.accelerometer,1524420655714,2281405942187,-9.241618,0.6895301,1.6950948
android.sensor.accelerometer,1524420655734,2281425932812,-9.720459,1.1492168,2.6144683
android.sensor.accelerometer,1524420655754,2281445956250,-10.448297,1.4077905,2.4133554
android.sensor.accelerometer,1524420655774,2281465946875,-10.199299,1.3982137,2.8921957
android.sensor.accelerometer,1524420655794,2281485937500,-9.490616,0.9959879,3.572149
android.sensor.accelerometer,1524420655814,2281505959375,-9.3182335,1.043872,3.6487634
android.sensor.accelerometer,1524420655834,2281525950000,-9.260772,1.091756,2.7006595
android.sensor.accelerometer,1524420655854,2281545942187,-9.375694,1.0151415,4.050989
android.sensor.accelerometer,1524420655874,2281565932812,-9.816227,1.2737153,4.951209
android.sensor.accelerometer,1524420655894,2281585954687,-10.7356,1.5897499,4.8745947
android.sensor.accelerometer,1524420655914,2281605945312,-10.314221,1.3790601,5.439626
android.sensor.accelerometer,1524420655934,2281625935937,-9.423578,0.49799395,4.951209
android.sensor.accelerometer,1524420655954,2281645959375,-8.571242,0.40222588,5.1235914
android.sensor.accelerometer,1524420655974,2281665950000,-8.379706,0.1340753,6.6654577
android.sensor.accelerometer,1524420655994,2281685940625,-8.647857,0.12449849,7.7667904
android.sensor.accelerometer,1524420656014,2281705931250,-9.155427,0.10534488,7.5944076
android.sensor.accelerometer,1524420656035,2281725953125,-9.80665,1.0151415,6.579266
android.sensor.accelerometer,1524420656055,2281745943750,-10.0269165,1.3503298,5.861006
android.sensor.accelerometer,1524420656075,2281765935937,-9.481039,0.9768343,6.3781533
android.sensor.accelerometer,1524420656095,2281785957812,-8.283937,0.51714754,7.690176
android.sensor.accelerometer,1524420656115,2281805948437,-7.4124484,-0.11492168,7.9487495
android.sensor.accelerometer,1524420656135,2281825939062,-6.933608,0.009576807,8.025364
android.sensor.accelerometer,1524420656155,2281845960937,-7.038953,0.1340753,8.37013
android.sensor.accelerometer,1524420656175,2281865953125,-7.019799,0.12449849,9.528923
android.sensor.accelerometer,1524420656195,2281885943750,-7.0102224,0.10534488,10.007763
android.sensor.accelerometer,1524420656215,2281905934375,-7.0485296,0.36391866,9.749189
android.sensor.accelerometer,1524420656235,2281925956250,-6.3589997,0.59376204,9.576807
android.sensor.accelerometer,1524420656255,2281945946875,-5.5162406,0.48841715,8.935161
android.sensor.accelerometer,1524420656275,2281965937500,-5.315128,0.92895025,8.389283
android.sensor.accelerometer,1524420656294,2281985960937,-5.0182467,1.340753,9.021352
android.sensor.accelerometer,1524420656314,2282005951562,-4.4819455,0.79487497,9.56723
android.sensor.accelerometer,1524420656334,2282025942187,-4.0892963,0.7278373,10.208876
android.sensor.accelerometer,1524420656354,2282045932812,-3.8115692,1.0342951,10.151415
android.sensor.accelerometer,1524420656374,2282065956250,-3.5913026,1.2737153,9.682152
android.sensor.accelerometer,1524420656394,2282085946875,-2.6240451,1.6089035,9.337387
android.sensor.accelerometer,1524420656414,2282105937500,-2.2026656,1.9728222,8.42759
android.sensor.accelerometer,1524420656434,2282125959375,-2.4995465,2.231396,7.728483
android.sensor.accelerometer,1524420656454,2282145951562,-2.135628,2.9783869,8.66701
android.sensor.accelerometer,1524420656474,2282165940625,-1.7621324,3.016694,9.586384
android.sensor.accelerometer,1524420656494,2282185932812,-1.2066777,2.681506,7.8146744
android.sensor.accelerometer,1524420656514,2282205954687,-1.484405,3.4093432,7.8529816
android.sensor.accelerometer,1524420656534,2282225945312,-1.4748282,3.7924154,8.513782
android.sensor.accelerometer,1524420656554,2282245935937,-1.685518,4.2904096,7.575254
android.sensor.accelerometer,1524420656574,2282265959375,-0.6799533,4.5872903,5.104438
android.sensor.accelerometer,1524420656594,2282285950000,1.4460979,4.1276035,5.1235914
android.sensor.accelerometer,1524420656614,2282305940625,1.0534488,3.4572272,7.374141
android.sensor.accelerometer,1524420656634,2282325931250,-1.7621324,4.8937483,8.647857
android.sensor.accelerometer,1524420656654,2282345953125,-0.095768064,4.510676,7.5848308
android.sensor.accelerometer,1524420656674,2282365943750,1.5801731,3.5913026,7.2209125
android.sensor.accelerometer,1524420656694,2282385935937,1.388637,3.514688,9.404425
android.sensor.accelerometer,1524420656714,2282405957812,-0.08619126,4.0797195,9.844957
android.sensor.accelerometer,1524420656734,2282425948437,-0.80445176,5.765238,7.73806
android.sensor.accelerometer,1524420656754,2282445939062,-0.05746084,7.240066,3.8786068
android.sensor.accelerometer,1524420656774,2282465929687,2.5091233,3.7541082,8.552089
android.sensor.accelerometer,1524420656794,2282485953125,2.1164744,4.0222588,7.9870567
android.sensor.accelerometer,1524420656814,2282505943750,2.3080103,4.050989,6.655881
android.sensor.accelerometer,1524420656834,2282525934375,2.0685902,4.4436383,6.4260373
android.sensor.accelerometer,1524420656854,2282545956250,0.89064306,5.142745,6.895301
