Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524420641116,2266805934375,0.0,0.0,0.0
android.sensor.gyroscope,1524420641136,2266825957812,0.0,0.0,0.0
android.sensor.gyroscope,1524420641156,2266845948437,0.0,0.0,0.0
android.sensor.gyroscope,1524420641176,2266865939062,0.0,0.0,0.0
android.sensor.gyroscope,1524420641196,2266885960937,0.0,0.0,0.0
android.sensor.gyroscope,1524420641216,2266905951562,0.0,0.0,0.0
android.sensor.gyroscope,1524420641236,2266925943750,0.0,0.0,0.0
android.sensor.gyroscope,1524420641256,2266945934375,0.0,0.0,0.0
android.sensor.gyroscope,1524420641276,2266965956250,0.0,0.0,0.0
android.sensor.gyroscope,1524420641296,2266985946875,-0.03244567,0.020437805,0.009267698
android.sensor.gyroscope,1524420641316,2267005937500,0.0,0.0,0.0
android.sensor.gyroscope,1524420641336,2267025960937,0.0,0.0,0.0
android.sensor.gyroscope,1524420641356,2267045951562,0.0,0.0,0.0
android.sensor.gyroscope,1524420641376,2267065942187,0.0,0.0,0.0
android.sensor.gyroscope,1524420641396,2267085934375,0.0,0.0,0.0
android.sensor.gyroscope,1524420641416,2267105954687,0.0,0.0,0.0
android.sensor.gyroscope,1524420641436,2267125945312,0.07826056,-0.032724924,-0.021537364
android.sensor.gyroscope,1524420641456,2267145937500,0.11316715,-0.05454154,-0.033807028
android.sensor.gyroscope,1524420641476,2267165959375,0.13852678,-0.08752826,-0.050178215
android.sensor.gyroscope,1524420641496,2267185950000,0.19006635,-0.14479251,-0.07661995
android.sensor.gyroscope,1524420641516,2267205942187,0.25143212,-0.2187072,-0.10608111
android.sensor.gyroscope,1524420641536,2267225932812,0.3111573,-0.30979595,-0.14316936
android.sensor.gyroscope,1524420641556,2267245954687,0.33269465,-0.42324233,-0.18842575
android.sensor.gyroscope,1524420641576,2267265945312,0.32669073,-0.5505816,-0.2380629
android.sensor.gyroscope,1524420641596,2267285935937,0.29342476,-0.67957884,-0.29096383
android.sensor.gyroscope,1524420641616,2267305957812,0.23043582,-0.8385609,-0.35505232
android.sensor.gyroscope,1524420641636,2267325950000,0.15625933,-0.94301885,-0.40168753
android.sensor.gyroscope,1524420641656,2267345940625,0.08888962,-1.0038261,-0.43713516
android.sensor.gyroscope,1524420641676,2267365931250,2.6179937E-4,-1.0308263,-0.4695983
android.sensor.gyroscope,1524420641696,2267385953125,-0.07061602,-1.0357307,-0.49305552
android.sensor.gyroscope,1524420641716,2267405943750,-0.11780973,-1.0043671,-0.5102295
android.sensor.gyroscope,1524420641736,2267425934375,-0.17397442,-0.9708394,-0.5372298
android.sensor.gyroscope,1524420641756,2267445957812,-0.23479915,-0.91083497,-0.55140185
