Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524420809899,2435585960937,-0.62249243,3.667917,8.8777
android.sensor.accelerometer,1524420809914,2435605951562,-0.58418524,3.6870706,9.165004
android.sensor.accelerometer,1524420809934,2435625942187,-0.51714754,3.5338416,9.14585
android.sensor.accelerometer,1524420809954,2435645934375,-0.59376204,3.4955344,9.165004
android.sensor.accelerometer,1524420809974,2435665956250,-0.63206923,3.5529952,9.346964
android.sensor.accelerometer,1524420809994,2435685946875,-0.60333884,3.6583402,9.509769
android.sensor.accelerometer,1524420810014,2435705937500,-0.51714754,3.6487634,9.385271
android.sensor.accelerometer,1524420810034,2435725959375,-0.30645782,3.572149,9.088389
android.sensor.accelerometer,1524420810054,2435745951562,-0.21068975,3.5051112,9.260772
android.sensor.accelerometer,1524420810074,2435765942187,-0.34476504,3.6296098,9.346964
android.sensor.accelerometer,1524420810094,2435785932812,-0.51714754,3.8019924,9.433155
android.sensor.accelerometer,1524420810114,2435805954687,0.4213795,3.5338416,9.634268
android.sensor.accelerometer,1524420810134,2435825945312,1.4556746,3.1986535,9.662998
android.sensor.accelerometer,1524420810154,2435845937500,1.9919758,3.064578,10.103531
android.sensor.accelerometer,1524420810174,2435865957812,2.3750482,2.920926,10.036493
android.sensor.accelerometer,1524420810194,2435885950000,3.1411927,2.480393,8.791509
android.sensor.accelerometer,1524420810214,2435905940625,3.9743748,1.8579005,8.39886
android.sensor.accelerometer,1524420810234,2435925931250,4.6255975,1.6759412,8.580819
android.sensor.accelerometer,1524420810254,2435945953125,4.510676,1.3599066,8.762778
android.sensor.accelerometer,1524420810274,2435965943750,3.5913026,1.4269443,8.532935
android.sensor.accelerometer,1524420810294,2435985935937,2.4516625,1.8770541,7.690176
android.sensor.accelerometer,1524420810314,2436005957812,1.7429788,2.1068976,6.847417
android.sensor.accelerometer,1524420810334,2436025948437,1.3694834,2.0207062,6.0046577
android.sensor.accelerometer,1524420810354,2436045940625,0.9864111,1.9249382,5.544971
android.sensor.accelerometer,1524420810374,2436065931250,0.5746084,1.8579005,5.45878
android.sensor.accelerometer,1524420810394,2436085953125,0.38307226,1.9249382,5.391742
android.sensor.accelerometer,1524420810414,2436105943750,-0.16280572,1.9153614,5.717354
android.sensor.accelerometer,1524420810434,2436125934375,-0.32561144,1.7046716,5.6886234
android.sensor.accelerometer,1524420810454,2436145957812,-0.7757214,1.388637,5.995081
android.sensor.accelerometer,1524420810474,2436165948437,-1.3311762,1.3311762,6.751649
android.sensor.accelerometer,1524420810494,2436185937500,-1.484405,1.4556746,7.3071036
android.sensor.accelerometer,1524420810514,2436205960937,-1.7142484,1.1875241,7.920019
android.sensor.accelerometer,1524420810534,2436225953125,-2.0111294,0.6703765,7.6710224
android.sensor.accelerometer,1524420810554,2436245942187,-2.6048915,1.340753,7.144298
android.sensor.accelerometer,1524420810574,2436265934375,-3.1507695,1.982399,6.6750345
android.sensor.accelerometer,1524420810594,2436285956250,-3.4859576,1.4077905,6.646304
android.sensor.accelerometer,1524420810614,2436305946875,-3.4380736,1.043872,8.025364
android.sensor.accelerometer,1524420810634,2436325937500,-3.1411927,1.091756,8.37013
android.sensor.accelerometer,1524420810654,2436345960937,-2.7868507,0.6895301,7.9008656
android.sensor.accelerometer,1524420810674,2436365951562,-2.6240451,-0.16280572,8.389283
android.sensor.accelerometer,1524420810694,2436385942187,-2.7006595,-0.61291564,9.682152
android.sensor.accelerometer,1524420810714,2436405932812,-2.5474305,-0.79487497,11.204864
android.sensor.accelerometer,1524420810734,2436425954687,-2.4229321,-0.9864111,11.616667
android.sensor.accelerometer,1524420810754,2436445945312,-2.7006595,-1.2258313,11.453861
android.sensor.accelerometer,1524420810774,2436465937500,-2.9975405,-1.8195933,11.520899
android.sensor.accelerometer,1524420810794,2436485959375,-3.371036,-2.384625,13.484144
android.sensor.accelerometer,1524420810814,2436505950000,-2.9496565,-2.96881,13.781025
