Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524420801136,2426825931250,0.015271631,-0.021816615,0.06298893
android.sensor.gyroscope,1524420801156,2426845954687,0.012810716,-0.017453292,0.051801372
android.sensor.gyroscope,1524420801176,2426865943750,0.01308997,-0.017715093,0.06489134
android.sensor.gyroscope,1524420801196,2426885935937,0.008726646,-0.017994344,0.093811445
android.sensor.gyroscope,1524420801216,2426905957812,0.006265732,-0.016074482,0.0943525
android.sensor.gyroscope,1524420801236,2426925948437,0.00408407,-0.016353736,0.10962413
android.sensor.gyroscope,1524420801256,2426945939062,0.012810716,-0.014451326,0.10225884
android.sensor.gyroscope,1524420801276,2426965931250,0.008988446,-0.011990412,0.09489355
android.sensor.gyroscope,1524420801296,2426985953125,0.00816814,-0.013351769,0.11807153
android.sensor.gyroscope,1524420801316,2427005943750,0.006265732,-0.012810716,0.12243485
android.sensor.gyroscope,1524420801336,2427025934375,0.0046251225,-0.012531464,0.12952088
android.sensor.gyroscope,1524420801356,2427045957812,0.002443461,-0.014451326,0.1513375
android.sensor.gyroscope,1524420801376,2427065948437,-0.006544985,-0.016632987,0.188705
android.sensor.gyroscope,1524420801396,2427085939062,-0.016632987,-0.02289872,0.26152015
android.sensor.gyroscope,1524420801416,2427105960937,-0.017715093,-0.026441738,0.30269244
android.sensor.gyroscope,1524420801436,2427125951562,-0.025621433,-0.031346112,0.3624176
android.sensor.gyroscope,1524420801456,2427145943750,-0.046355944,-0.032724924,0.4695983
android.sensor.gyroscope,1524420801476,2427165934375,-0.07171558,-0.040631264,0.59613466
android.sensor.gyroscope,1524420801496,2427185956250,-0.10580186,-0.046617743,0.716126
android.sensor.gyroscope,1524420801516,2427205946875,-0.14152876,-0.04907866,0.81730276
android.sensor.gyroscope,1524420801536,2427225937500,-0.15271631,-0.050440013,0.8655611
android.sensor.gyroscope,1524420801556,2427245959375,-0.1529781,-0.053983033,0.9015673
android.sensor.gyroscope,1524420801576,2427265951562,-0.14753269,-0.06462954,0.9307492
android.sensor.gyroscope,1524420801596,2427285942187,-0.14343116,-0.07171558,0.999201
android.sensor.gyroscope,1524420801616,2427305932812,-0.13170254,-0.08126253,1.055645
android.sensor.gyroscope,1524420801636,2427325954687,-0.12135274,-0.09135053,1.0643716
android.sensor.gyroscope,1524420801656,2427345945312,-0.10416125,-0.10716321,1.0008241
android.sensor.gyroscope,1524420801676,2427365937500,-0.09599311,-0.12625712,0.9105557
android.sensor.gyroscope,1524420801696,2427385959375,-0.09979793,-0.141808,0.8099375
android.sensor.gyroscope,1524420801716,2427405950000,-0.11152654,-0.15870279,0.6577622
android.sensor.gyroscope,1524420801736,2427425940625,-0.12217305,-0.1693493,0.5309466
android.sensor.gyroscope,1524420801756,2427445932812,-0.13962634,-0.17671458,0.40032616
android.sensor.gyroscope,1524420801776,2427465953125,-0.15762068,-0.19088666,0.24296728
android.sensor.gyroscope,1524420801796,2427485943750,-0.17997836,-0.20669934,0.07853982
android.sensor.gyroscope,1524420801816,2427505935937,-0.21024236,-0.218969,-0.06817256
android.sensor.gyroscope,1524420801836,2427525957812,-0.24216443,-0.22607249,-0.35479054
android.sensor.gyroscope,1524420801856,2427545948437,-0.27869418,-0.22743386,-0.78401935
android.sensor.gyroscope,1524420801876,2427565939062,-0.28579766,-0.19470893,-1.5247022
android.sensor.gyroscope,1524420801896,2427585931250,-0.27488935,-0.14915584,-2.2923677
android.sensor.gyroscope,1524420801916,2427605953125,-0.25687757,-0.12843879,-2.6414337
android.sensor.gyroscope,1524420801937,2427625943750,-0.2187072,-0.08316494,-2.9697824
android.sensor.gyroscope,1524420801956,2427645934375,-0.21734585,-0.029722957,-3.2141285
android.sensor.gyroscope,1524420801976,2427665957812,-0.23315853,0.030543262,-3.4085581
android.sensor.gyroscope,1524420801996,2427685948437,-0.27351055,0.09843657,-3.5735617
android.sensor.gyroscope,1524420802016,2427705939062,-0.32669073,0.17289232,-3.723276
android.sensor.gyroscope,1524420802036,2427725960937,-0.38205257,0.26069984,-3.7876263
android.sensor.gyroscope,1524420802056,2427745951562,-0.40959388,0.3498687,-3.7262778
android.sensor.gyroscope,1524420802076,2427765943750,-0.43823472,0.42978734,-3.5670166
android.sensor.gyroscope,1524420802096,2427785934375,-0.49523717,0.51785666,-3.4748282
android.sensor.gyroscope,1524420802116,2427805956250,-0.5664117,0.53613025,-3.2422109
android.sensor.gyroscope,1524420802137,2427825946875,-0.6558598,0.52496016,-2.9869564
android.sensor.gyroscope,1524420802156,2427845937500,-0.73221797,0.50640726,-2.6976159
android.sensor.gyroscope,1524420802176,2427865960937,-0.7832165,0.4747819,-2.3938239
android.sensor.gyroscope,1524420802196,2427885951562,-0.8303928,0.4322308,-2.0872917
android.sensor.gyroscope,1524420802216,2427905940625,-0.88547534,0.3736052,-1.7925055
android.sensor.gyroscope,1524420802236,2427925932812,-0.92964965,0.31634092,-1.5159755
