Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524420861634,2487325945312,-2.585738,3.323152,8.42759
android.sensor.accelerometer,1524420861654,2487345937500,-2.4708161,3.371036,8.034941
android.sensor.accelerometer,1524420861674,2487365957812,-2.566584,3.371036,8.446744
android.sensor.accelerometer,1524420861694,2487385950000,-2.8060043,3.5817258,8.714894
android.sensor.accelerometer,1524420861714,2487405940625,-3.1028855,3.620033,8.6574335
android.sensor.accelerometer,1524420861734,2487425931250,-2.9975405,3.7541082,7.9583263
android.sensor.accelerometer,1524420861754,2487445953125,-2.4995465,3.5817258,7.9104424
android.sensor.accelerometer,1524420861774,2487465943750,-1.982399,3.1507695,8.7532015
android.sensor.accelerometer,1524420861794,2487485935937,-2.1260512,3.0933087,9.634268
android.sensor.accelerometer,1524420861814,2487505957812,-3.064578,3.2561142,10.228029
android.sensor.accelerometer,1524420861834,2487525948437,-3.9935284,3.86903,9.739613
android.sensor.accelerometer,1524420861854,2487545939062,-4.3861775,4.261679,8.628703
android.sensor.accelerometer,1524420861874,2487565931250,-4.2042184,4.185065,7.843405
android.sensor.accelerometer,1524420861894,2487585953125,-4.0414124,3.9073372,8.0445175
android.sensor.accelerometer,1524420861914,2487605943750,-4.357447,3.7924154,8.772355
android.sensor.accelerometer,1524420861934,2487625934375,-5.046977,3.9456444,9.203311
android.sensor.accelerometer,1524420861954,2487645956250,-5.8322754,4.2904096,9.222465
android.sensor.accelerometer,1524420861974,2487665948437,-6.4164605,4.4436383,8.916007
android.sensor.accelerometer,1524420861994,2487685937500,-6.8091097,4.309563,8.590396
android.sensor.accelerometer,1524420862014,2487705960937,-6.703765,4.012682,8.169016
android.sensor.accelerometer,1524420862034,2487725951562,-6.129156,3.7924154,7.28795
android.sensor.accelerometer,1524420862054,2487745942187,-5.305551,3.4572272,5.659893
android.sensor.accelerometer,1524420862074,2487765934375,-4.1659107,2.9017725,3.9264908
android.sensor.accelerometer,1524420862094,2487785956250,-2.6048915,2.585738,2.384625
android.sensor.accelerometer,1524420862114,2487805946875,-1.2066777,1.733402,1.5993267
android.sensor.accelerometer,1524420862134,2487825937500,-0.35434186,0.8810662,1.9919758
android.sensor.accelerometer,1524420862154,2487845959375,-0.15322891,0.89064306,3.7828386
android.sensor.accelerometer,1524420862174,2487865950000,-0.51714754,1.388637,5.2959743
android.sensor.accelerometer,1524420862194,2487885942187,-0.6895301,1.2162545,5.765238
android.sensor.accelerometer,1524420862214,2487905932812,-0.58418524,0.63206923,5.3438582
android.sensor.accelerometer,1524420862234,2487925954687,-0.12449849,0.19153613,5.2768207
android.sensor.accelerometer,1524420862254,2487945945312,0.25857377,0.06703765,5.439626
android.sensor.accelerometer,1524420862274,2487965935937,0.48841715,-0.22984336,5.171476
android.sensor.accelerometer,1524420862294,2487985957812,0.45968673,-0.78529817,5.3821654
android.sensor.accelerometer,1524420862314,2488005950000,0.047884032,-0.90021986,6.5026517
android.sensor.accelerometer,1524420862334,2488025940625,-0.1340753,-1.6759412,7.3549876
android.sensor.accelerometer,1524420862354,2488045931250,0.80445176,-2.5091233,8.063671
android.sensor.accelerometer,1524420862374,2488065954687,1.7429788,-3.6008794,8.7053175
android.sensor.accelerometer,1524420862394,2488085945312,2.2409728,-4.2904096,9.442732
android.sensor.accelerometer,1524420862414,2488105935937,2.5378537,-4.4340615,9.691729
android.sensor.accelerometer,1524420862434,2488125957812,2.336741,-4.6830587,10.295067
android.sensor.accelerometer,1524420862454,2488145948437,2.135628,-4.912902,11.262324
android.sensor.accelerometer,1524420862474,2488165939062,2.1164744,-5.1523223,11.741165
android.sensor.accelerometer,1524420862494,2488185931250,2.1452048,-5.9567738,12.181698
android.sensor.accelerometer,1524420862514,2488205953125,2.087744,-6.4547677,13.215993
android.sensor.accelerometer,1524420862534,2488225943750,2.2122424,-6.6271505,12.919112
android.sensor.accelerometer,1524420862554,2488245934375,2.0973208,-7.2304893,13.800179
android.sensor.accelerometer,1524420862574,2488265956250,1.0534488,-7.795521,16.16565
android.sensor.accelerometer,1524420862594,2488285948437,0.4405331,-8.015787,17.238253
android.sensor.accelerometer,1524420862614,2488305939062,0.90979666,-8.532935,16.280571
android.sensor.accelerometer,1524420862634,2488325960937,0.90021986,-9.270349,16.079458
android.sensor.accelerometer,1524420862654,2488345951562,-0.842759,-9.165004,18.148048
android.sensor.accelerometer,1524420862674,2488365942187,-2.566584,-9.069236,18.50239
android.sensor.accelerometer,1524420862694,2488385934375,-3.3039982,-9.078813,17.832014
android.sensor.accelerometer,1524420862714,2488405956250,-3.9743748,-8.686164,17.860744
android.sensor.accelerometer,1524420862734,2488425946875,-4.510676,-8.66701,16.903065
android.sensor.accelerometer,1524420862754,2488445937500,-4.644751,-8.695741,16.376339
android.sensor.accelerometer,1524420862774,2488465960937,-4.9416323,-8.935161,17.180792
android.sensor.accelerometer,1524420862794,2488485951562,-5.813122,-9.14585,16.385916
android.sensor.accelerometer,1524420862814,2488505942187,-6.540959,-8.686164,15.188815
android.sensor.accelerometer,1524420862834,2488525932812,-7.086837,-7.824251,15.217546
android.sensor.accelerometer,1524420862854,2488545954687,-7.565677,-7.297527,15.8304615
android.sensor.accelerometer,1524420862874,2488565945312,-8.418014,-7.345411,15.95496
android.sensor.accelerometer,1524420862894,2488585937500,-8.647857,-7.297527,15.581465
android.sensor.accelerometer,1524420862914,2488605959375,-8.485051,-6.847417,14.470555
android.sensor.accelerometer,1524420862934,2488625950000,-8.63828,-6.4164605,13.254301
android.sensor.accelerometer,1524420862954,2488645940625,-8.772355,-5.899313,12.200851
android.sensor.accelerometer,1524420862974,2488665931250,-8.868123,-5.2863975,11.559206
android.sensor.accelerometer,1524420862994,2488685954687,-9.212888,-4.7309427,10.936713
android.sensor.accelerometer,1524420863014,2488705945312,-9.021352,-4.098873,10.333375
android.sensor.accelerometer,1524420863034,2488725935937,-8.772355,-3.7062242,9.940725
android.sensor.accelerometer,1524420863054,2488745957812,-8.504205,-3.2369606,9.088389
android.sensor.accelerometer,1524420863074,2488765948437,-8.437167,-2.5570073,8.6574335
android.sensor.accelerometer,1524420863094,2488785940625,-8.121132,-1.9249382,7.8050976
android.sensor.accelerometer,1524420863114,2488805931250,-7.5944076,-1.6472107,6.5601125
android.sensor.accelerometer,1524420863134,2488825953125,-6.2632318,-1.4077905,5.93762
android.sensor.accelerometer,1524420863154,2488845943750,-5.5641246,-1.2066777,5.4300494
android.sensor.accelerometer,1524420863174,2488865934375,-5.161899,-0.8714894,4.807557
android.sensor.accelerometer,1524420863194,2488885956250,-4.5872903,-0.37349546,4.4340615
android.sensor.accelerometer,1524420863214,2488905948437,-4.309563,-0.33518824,4.1946416
android.sensor.accelerometer,1524420863234,2488925939062,-3.8977604,-0.22984336,4.367024
android.sensor.accelerometer,1524420863254,2488945960937,-3.4093432,0.6799533,3.3614593
android.sensor.accelerometer,1524420863274,2488965951562,-2.767697,1.1683705,2.1547816
android.sensor.accelerometer,1524420863294,2488985942187,-1.7525556,1.3024458,1.6567876
android.sensor.accelerometer,1524420863314,2489005934375,-0.36391866,1.283292,1.1204864
