Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524420861640,2487325945312,0.09243264,-0.028082348,-0.21052161
android.sensor.gyroscope,1524420861656,2487345937500,0.092170835,-0.030543262,-0.21024236
android.sensor.gyroscope,1524420861676,2487365957812,0.085887656,-0.025359634,-0.18816395
android.sensor.gyroscope,1524420861696,2487385950000,0.08670796,-0.021816615,-0.17915805
android.sensor.gyroscope,1524420861716,2487405940625,0.092170835,-0.019634955,-0.18107791
android.sensor.gyroscope,1524420861736,2487425931250,0.101717785,-0.017715093,-0.17615607
android.sensor.gyroscope,1524420861756,2487445953125,0.11070623,-0.014713125,-0.17097245
android.sensor.gyroscope,1524420861776,2487465943750,0.10089748,-0.012269665,-0.15271631
android.sensor.gyroscope,1524420861796,2487485935937,0.10143854,-0.011990412,-0.15243706
android.sensor.gyroscope,1524420861816,2487505957812,0.0853466,-0.011711159,-0.13034119
android.sensor.gyroscope,1524420861836,2487525948437,0.082623884,-0.010349803,-0.12733923
android.sensor.gyroscope,1524420861856,2487545939062,0.08752826,-0.00572468,-0.151896
android.sensor.gyroscope,1524420861876,2487565931250,0.11206759,2.6179937E-4,-0.21052161
android.sensor.gyroscope,1524420861896,2487585953125,0.13880603,0.005986479,-0.26778588
android.sensor.gyroscope,1524420861916,2487605943750,0.16634732,0.006544985,-0.330513
android.sensor.gyroscope,1524420861937,2487625934375,0.1996133,0.0038048178,-0.42268384
android.sensor.gyroscope,1524420861956,2487645956250,0.24352579,0.0046251225,-0.5473178
android.sensor.gyroscope,1524420861976,2487665948437,0.2877001,0.012531464,-0.66130525
android.sensor.gyroscope,1524420861996,2487685937500,0.33923966,0.020996312,-0.79138464
android.sensor.gyroscope,1524420862016,2487705960937,0.38287288,0.0286234,-0.8887391
android.sensor.gyroscope,1524420862036,2487725951562,0.41613886,0.037088245,-0.94301885
android.sensor.gyroscope,1524420862056,2487745942187,0.43851396,0.040893063,-0.95829046
android.sensor.gyroscope,1524420862076,2487765934375,0.46195376,0.04363323,-0.96673787
android.sensor.gyroscope,1524420862096,2487785956250,0.48895398,0.05644395,-0.95719093
android.sensor.gyroscope,1524420862116,2487805946875,0.53258723,0.07389724,-0.9563706
android.sensor.gyroscope,1524420862136,2487825937500,0.5364095,0.07771951,-0.9236457
android.sensor.gyroscope,1524420862156,2487845959375,0.50204396,0.07253588,-0.8631177
android.sensor.gyroscope,1524420862176,2487865950000,0.5023232,0.07771951,-0.8159414
android.sensor.gyroscope,1524420862196,2487885942187,0.46631706,0.07007497,-0.75457567
android.sensor.gyroscope,1524420862216,2487905932812,0.37660715,0.053441983,-0.65449846
android.sensor.gyroscope,1524420862236,2487925954687,0.2653424,0.032724924,-0.560687
android.sensor.gyroscope,1524420862256,2487945945312,0.1529781,0.021537364,-0.46605527
android.sensor.gyroscope,1524420862276,2487965935937,0.055902895,0.019634955,-0.36133552
android.sensor.gyroscope,1524420862296,2487985957812,-0.052080624,0.010349803,-0.28033477
android.sensor.gyroscope,1524420862316,2488005950000,-0.18406242,0.00816814,-0.1311615
android.sensor.gyroscope,1524420862337,2488025940625,-0.33733723,0.006265732,0.0095294975
android.sensor.gyroscope,1524420862356,2488045931250,-0.5912303,2.6179937E-4,0.26342255
android.sensor.gyroscope,1524420862376,2488065954687,-1.1224562,-0.019355701,0.90428996
android.sensor.gyroscope,1524420862396,2488085945312,-1.607326,0.04363323,1.8094003
android.sensor.gyroscope,1524420862416,2488105935937,-2.15138,0.14971434,3.145956
android.sensor.gyroscope,1524420862436,2488125957812,-2.6147127,0.20669934,4.702563
android.sensor.gyroscope,1524420862456,2488145948437,-2.843246,0.10934488,5.9695673
android.sensor.gyroscope,1524420862476,2488165939062,-2.8004332,-0.15898204,6.543606
android.sensor.gyroscope,1524420862496,2488185931250,-2.6504395,-0.48651052,6.613419
android.sensor.gyroscope,1524420862516,2488205953125,-2.4917192,-0.7943866,6.407261
android.sensor.gyroscope,1524420862536,2488225943750,-2.3237314,-1.0278244,5.9684677
