Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524420962694,2588385948437,-6.8186865,3.1411927,6.6271505
android.sensor.accelerometer,1524420962714,2588405939062,-6.943185,3.1794999,6.540959
android.sensor.accelerometer,1524420962734,2588425931250,-7.07726,3.2273839,6.483498
android.sensor.accelerometer,1524420962754,2588445953125,-6.991069,3.169923,6.215348
android.sensor.accelerometer,1524420962774,2588465943750,-6.8091097,3.169923,5.9567738
android.sensor.accelerometer,1524420962794,2588485934375,-6.8186865,3.1316159,6.1100025
android.sensor.accelerometer,1524420962814,2588505956250,-6.8665705,3.169923,6.6175733
android.sensor.accelerometer,1524420962834,2588525948437,-6.7803793,3.1507695,6.6175733
android.sensor.accelerometer,1524420962854,2588545939062,-6.7229185,3.0358477,6.3206925
android.sensor.accelerometer,1524420962874,2588565960937,-6.789956,3.0550013,6.157887
android.sensor.accelerometer,1524420962894,2588585951562,-6.789956,3.2082303,6.244078
android.sensor.accelerometer,1524420962914,2588605943750,-6.8282633,3.1794999,6.3589997
android.sensor.accelerometer,1524420962934,2588625934375,-6.9048777,3.064578,6.3781533
android.sensor.accelerometer,1524420962954,2588645956250,-7.4603324,2.920926,6.291962
android.sensor.accelerometer,1524420962974,2588665946875,-8.312668,3.0358477,6.2728086
android.sensor.accelerometer,1524420962994,2588685937500,-9.241618,3.3614593,6.38773
android.sensor.accelerometer,1524420963014,2588705959375,-9.988609,3.4955344,6.3685765
android.sensor.accelerometer,1524420963034,2588725951562,-11.003751,3.7445314,5.899313
android.sensor.accelerometer,1524420963054,2588745942187,-11.300632,3.7349546,5.7365074
android.sensor.accelerometer,1524420963074,2588765932812,-11.089942,3.514688,5.391742
android.sensor.accelerometer,1524420963094,2588785954687,-10.409989,3.1603463,4.548983
android.sensor.accelerometer,1524420963114,2588805946875,-9.423578,2.9783869,3.41892
android.sensor.accelerometer,1524420963134,2588825935937,-8.360553,2.5570073,2.1547816
android.sensor.accelerometer,1524420963154,2588845959375,-7.603985,2.3175871,1.388637
android.sensor.accelerometer,1524420963174,2588865951562,-7.489063,2.432509,1.0726024
android.sensor.accelerometer,1524420963194,2588885940625,-7.603985,2.815581,1.3024458
android.sensor.accelerometer,1524420963214,2588905932812,-7.8050976,2.9975405,1.934515
android.sensor.accelerometer,1524420963234,2588925954687,-7.8625584,2.6144683,2.7581203
android.sensor.accelerometer,1524420963254,2588945945312,-7.920019,2.566584,3.371036
android.sensor.accelerometer,1524420963274,2588965935937,-7.73806,2.5570073,3.8786068
android.sensor.accelerometer,1524420963294,2588985957812,-7.0581064,2.5378537,3.8498764
android.sensor.accelerometer,1524420963314,2589005950000,-6.4164605,2.0207062,4.012682
android.sensor.accelerometer,1524420963334,2589025940625,-5.631162,1.7429788,4.2042184
android.sensor.accelerometer,1524420963354,2589045931250,-4.5777135,1.6376339,4.6926355
android.sensor.accelerometer,1524420963374,2589065953125,-3.4763808,1.1779473,5.305551
android.sensor.accelerometer,1524420963394,2589085943750,-2.5570073,0.79487497,6.5601125
android.sensor.accelerometer,1524420963414,2589105935937,-1.2354081,0.095768064,7.929596
android.sensor.accelerometer,1524420963434,2589125956250,-0.15322891,-0.45010993,8.8777
android.sensor.accelerometer,1524420963454,2589145948437,0.40222588,-0.21068975,9.691729
android.sensor.accelerometer,1524420963474,2589165939062,1.1875241,0.1436521,10.266336
android.sensor.accelerometer,1524420963494,2589185960937,1.9919758,0.0,11.013328
android.sensor.accelerometer,1524420963514,2589205951562,1.8291701,-0.20111294,12.861651
android.sensor.accelerometer,1524420963534,2589225943750,1.2066777,0.009576807,14.480132
android.sensor.accelerometer,1524420963554,2589245934375,1.3599066,0.009576807,14.403518
android.sensor.accelerometer,1524420963574,2589265956250,2.2984335,-0.22026655,12.5743475
android.sensor.accelerometer,1524420963594,2589285946875,1.982399,-0.4405331,11.329363
android.sensor.accelerometer,1524420963614,2589305937500,0.30645782,-0.076614454,11.224017
android.sensor.accelerometer,1524420963634,2589325960937,-1.3024458,0.2873042,12.411542
android.sensor.accelerometer,1524420963654,2589345951562,-1.532289,0.16280572,13.656527
android.sensor.accelerometer,1524420963674,2589365942187,-1.3790601,-0.4213795,13.934254
android.sensor.accelerometer,1524420963694,2589385932812,-1.4077905,-0.92895025,13.311762
android.sensor.accelerometer,1524420963714,2589405954687,-1.8674773,-1.1683705,12.785037
android.sensor.accelerometer,1524420963734,2589425945312,-2.633622,-1.3503298,12.928689
android.sensor.accelerometer,1524420963754,2589445937500,-3.2082303,-1.6663644,12.785037
android.sensor.accelerometer,1524420963774,2589465959375,-2.825158,-1.8962077,12.363658
android.sensor.accelerometer,1524420963794,2589485950000,-3.3518825,-2.2984335,11.865664
android.sensor.accelerometer,1524420963814,2589505940625,-4.3957543,-2.0015526,10.352529
android.sensor.accelerometer,1524420963834,2589525932812,-4.7884035,-1.8100165,8.954314
android.sensor.accelerometer,1524420963854,2589545954687,-4.6160207,-1.8100165,8.37013
android.sensor.accelerometer,1524420963874,2589565945312,-5.085284,-1.8866309,7.9008656
android.sensor.accelerometer,1524420963894,2589585935937,-4.865018,-1.7621324,6.483498
android.sensor.accelerometer,1524420963914,2589605957812,-5.1523223,-1.3215994,6.531382
android.sensor.accelerometer,1524420963934,2589625950000,-6.8282633,-0.91937345,6.253655
android.sensor.accelerometer,1524420963954,2589645940625,-7.4028716,-0.7661445,4.912902
android.sensor.accelerometer,1524420963974,2589665931250,-7.1251445,-1.1204864,4.5394063
android.sensor.accelerometer,1524420963994,2589685953125,-7.4507556,-0.6703765,4.9416323
android.sensor.accelerometer,1524420964014,2589705943750,-8.025364,-1.2162545,5.6790466
android.sensor.accelerometer,1524420964038,2589725935937,-8.207323,-2.1260512,6.6367273
android.sensor.accelerometer,1524420964054,2589745957812,-8.0445175,-2.327164,7.469909
android.sensor.accelerometer,1524420964074,2589765948437,-8.714894,-1.7908629,7.8050976
android.sensor.accelerometer,1524420964095,2589785939062,-8.935161,-1.982399,7.2209125
android.sensor.accelerometer,1524420964115,2589805931250,-8.6574335,-2.1643584,6.2345014
android.sensor.accelerometer,1524420964134,2589825953125,-8.676587,-2.4133554,6.6846113
android.sensor.accelerometer,1524420964154,2589845943750,-9.11712,-3.3039982,7.374141
android.sensor.accelerometer,1524420964174,2589865934375,-9.461885,-3.6870706,7.7093296
android.sensor.accelerometer,1524420964194,2589885956250,-9.442732,-3.5913026,7.872135
android.sensor.accelerometer,1524420964214,2589905948437,-9.193734,-3.7349546,8.121132
android.sensor.accelerometer,1524420964234,2589925939062,-8.599973,-4.5681367,7.843405
android.sensor.accelerometer,1524420964254,2589945960937,-8.475474,-5.506664,8.360553
android.sensor.accelerometer,1524420964274,2589965951562,-8.599973,-5.9567738,9.452309
android.sensor.accelerometer,1524420964294,2589985942187,-8.552089,-6.0716953,9.461885
android.sensor.accelerometer,1524420964314,2590005934375,-7.8625584,-6.081272,7.335834
android.sensor.accelerometer,1524420964334,2590025954687,-7.489063,-6.081272,6.042965
android.sensor.accelerometer,1524420964354,2590045945312,-6.5218053,-6.991069,8.887277
android.sensor.accelerometer,1524420964374,2590065937500,-4.4915223,-9.050082,14.164097
android.sensor.accelerometer,1524420964394,2590085959375,-1.8770541,-10.25676,17.180792
android.sensor.accelerometer,1524420964414,2590105951562,-0.81402856,-9.77792,16.481684
android.sensor.accelerometer,1524420964434,2590125942187,-0.8331822,-8.523358,14.240712
android.sensor.accelerometer,1524420964454,2590145932812,-0.89064306,-7.431602,12.53604
android.sensor.accelerometer,1524420964474,2590165954687,-1.0534488,-6.6750345,12.976573
android.sensor.accelerometer,1524420964494,2590185945312,-1.0247183,-6.7229185,13.800179
android.sensor.accelerometer,1524420964514,2590205937500,-2.078167,-6.588843,14.144943
android.sensor.accelerometer,1524420964534,2590225959375,-3.2369606,-6.1770406,13.273455
android.sensor.accelerometer,1524420964554,2590245950000,-3.7062242,-5.985504,12.0571995
android.sensor.accelerometer,1524420964574,2590265940625,-3.6774938,-5.9759274,11.070788
android.sensor.accelerometer,1524420964594,2590285931250,-3.1603463,-5.899313,10.716447
android.sensor.accelerometer,1524420964614,2590305953125,-2.6240451,-6.2249246,10.323798
android.sensor.accelerometer,1524420964634,2590325945312,-2.480393,-6.38773,10.208876
android.sensor.accelerometer,1524420964654,2590345935937,-3.2369606,-5.45878,10.295067
android.sensor.accelerometer,1524420964674,2590365957812,-4.1659107,-3.916914,10.199299
