Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524420968816,2594505956250,-0.09817477,0.03598869,0.102538094
android.sensor.gyroscope,1524420968836,2594525946875,-0.09871582,0.03817035,0.10115928
android.sensor.gyroscope,1524420968856,2594545937500,-0.08316494,0.032166418,0.0850848
android.sensor.gyroscope,1524420968876,2594565960937,-0.07253588,0.033527777,0.07716101
android.sensor.gyroscope,1524420968896,2594585951562,-0.053162728,0.029443704,0.06298893
android.sensor.gyroscope,1524420968916,2594605942187,-0.045814894,0.03981096,0.063268185
android.sensor.gyroscope,1524420968936,2594625932812,-0.014172073,0.038449604,0.038449604
android.sensor.gyroscope,1524420968956,2594645954687,0.019634955,0.033807028,0.006265732
android.sensor.gyroscope,1524420968976,2594665945312,0.047717303,0.044174284,-0.02125811
android.sensor.gyroscope,1524420968996,2594685937500,0.03981096,0.025900686,-0.029984757
android.sensor.gyroscope,1524420969016,2594705957812,0.056164697,0.023719024,-0.048799407
android.sensor.gyroscope,1524420969036,2594725950000,0.07497934,0.023719024,-0.06843436
android.sensor.gyroscope,1524420969056,2594745940625,0.11971214,0.01881465,-0.10716321
android.sensor.gyroscope,1524420969076,2594765932812,0.18188076,0.011990412,-0.16442747
android.sensor.gyroscope,1524420969096,2594785954687,0.24760985,0.0046251225,-0.22661355
android.sensor.gyroscope,1524420969116,2594805945312,0.32669073,-0.0038048178,-0.30325097
android.sensor.gyroscope,1524420969136,2594825935937,0.42186353,-0.014451326,-0.3771482
android.sensor.gyroscope,1524420969156,2594845959375,0.5053252,-0.021537364,-0.43441245
android.sensor.gyroscope,1524420969176,2594865948437,0.59695494,-0.033265974,-0.49087384
android.sensor.gyroscope,1524420969196,2594885939062,0.69102824,-0.03981096,-0.54159313
android.sensor.gyroscope,1524420969216,2594905931250,0.79194313,-0.046076693,-0.5928534
android.sensor.gyroscope,1524420969236,2594925953125,0.9081123,-0.045814894,-0.63812727
android.sensor.gyroscope,1524420969256,2594945943750,1.0357307,-0.0376293,-0.6803992
android.sensor.gyroscope,1524420969276,2594965935937,1.1565424,-0.030264009,-0.7240324
android.sensor.gyroscope,1524420969296,2594985957812,1.2277169,-0.019634955,-0.739304
android.sensor.gyroscope,1524420969316,2595005948437,1.2331798,-0.017174039,-0.71066314
android.sensor.gyroscope,1524420969336,2595025939062,1.2364436,-0.02289872,-0.6967529
android.sensor.gyroscope,1524420969356,2595045962500,1.2508949,-0.02698279,-0.6992138
android.sensor.gyroscope,1524420969376,2595065951562,1.2618033,-0.03408628,-0.7076612
android.sensor.gyroscope,1524420969396,2595085942187,1.2634438,-0.050981067,-0.7117627
android.sensor.gyroscope,1524420969416,2595105934375,1.2064588,-0.06571165,-0.68558276
android.sensor.gyroscope,1524420969436,2595125956250,1.1150908,-0.09162979,-0.63866836
android.sensor.gyroscope,1524420969456,2595145946875,0.9858318,-0.12571606,-0.5876698
android.sensor.gyroscope,1524420969476,2595165939062,0.7777536,-0.1701696,-0.50858897
android.sensor.gyroscope,1524420969496,2595185959375,0.48350856,-0.22252949,-0.3896971
android.sensor.gyroscope,1524420969516,2595205951562,0.08180358,-0.2855184,-0.225514
android.sensor.gyroscope,1524420969536,2595225942187,-0.4756022,-0.30787608,0.05290093
android.sensor.gyroscope,1524420969556,2595245932812,-1.2664458,-0.27433085,0.50858897
android.sensor.gyroscope,1524420969576,2595265956250,-2.193652,-0.13880603,1.1655483
android.sensor.gyroscope,1524420969596,2595285945312,-3.248756,0.095713854,2.0611117
android.sensor.gyroscope,1524420969616,2595305937500,-4.1489615,0.32887238,3.0376759
android.sensor.gyroscope,1524420969637,2595325959375,-4.597302,0.41069344,3.7799993
android.sensor.gyroscope,1524420969656,2595345950000,-4.6564684,0.3403392,4.2067847
android.sensor.gyroscope,1524420969676,2595365942187,-4.502129,0.1704314,4.373411
android.sensor.gyroscope,1524420969696,2595385931250,-4.22532,-0.034348078,4.3395867
android.sensor.gyroscope,1524420969716,2595405954687,-3.918526,-0.23287928,4.211968
android.sensor.gyroscope,1524420969736,2595425945312,-3.6305466,-0.40523055,4.027609
android.sensor.gyroscope,1524420969756,2595445935937,-3.356757,-0.5481381,3.802898
android.sensor.gyroscope,1524420969776,2595465959375,-3.0851312,-0.64603364,3.5179205
android.sensor.gyroscope,1524420969796,2595485950000,-2.856336,-0.69403017,3.231582
