Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524420912157,2537845951562,-0.62249243,1.2162545,9.279925
android.sensor.accelerometer,1524420912174,2537865942187,-0.63206923,1.2545617,9.509769
android.sensor.accelerometer,1524420912194,2537885934375,-1.0055647,1.3599066,9.720459
android.sensor.accelerometer,1524420912214,2537905956250,-1.2162545,1.5035586,9.892841
android.sensor.accelerometer,1524420912234,2537925946875,-1.0055647,1.4652514,10.084377
android.sensor.accelerometer,1524420912254,2537945937500,-0.47884035,1.13964,9.595961
android.sensor.accelerometer,1524420912274,2537965959375,-0.31603462,1.0055647,9.3661175
android.sensor.accelerometer,1524420912294,2537985951562,-0.36391866,1.2162545,9.481039
android.sensor.accelerometer,1524420912314,2538005940625,-0.5650316,1.3694834,9.624691
android.sensor.accelerometer,1524420912334,2538025932812,-0.89064306,1.3311762,9.816227
android.sensor.accelerometer,1524420912354,2538045954687,-1.13964,1.541866,9.835381
android.sensor.accelerometer,1524420912374,2538065945312,-0.5650316,1.3982137,9.77792
android.sensor.accelerometer,1524420912394,2538085935937,0.095768064,1.1109096,9.3661175
android.sensor.accelerometer,1524420912414,2538105959375,0.6991069,0.93852705,9.040505
android.sensor.accelerometer,1524420912434,2538125950000,1.3694834,1.091756,9.097966
android.sensor.accelerometer,1524420912454,2538145940625,2.777274,0.8810662,9.308656
android.sensor.accelerometer,1524420912474,2538165932812,4.3861775,0.18195933,10.113108
android.sensor.accelerometer,1524420912494,2538185953125,5.6120086,-0.46926352,10.189722
android.sensor.accelerometer,1524420912514,2538205943750,6.885724,-1.2066777,9.969456
android.sensor.accelerometer,1524420912534,2538225935937,8.226477,-2.3750482,10.409989
android.sensor.accelerometer,1524420912554,2538245957812,9.346964,-3.4284968,9.595961
android.sensor.accelerometer,1524420912574,2538265948437,8.025364,-3.5242648,10.036493
android.sensor.accelerometer,1524420912594,2538285939062,5.6120086,-2.834735,10.218452
android.sensor.accelerometer,1524420912615,2538305929687,3.3614593,-2.2888567,9.768343
android.sensor.accelerometer,1524420912634,2538325953125,1.4556746,-1.8770541,10.036493
android.sensor.accelerometer,1524420912654,2538345943750,0.2681506,-1.1587936,10.199299
android.sensor.accelerometer,1524420912674,2538365934375,-0.80445176,-0.7469909,10.036493
android.sensor.accelerometer,1524420912695,2538385957812,-1.9536686,-0.4213795,10.199299
android.sensor.accelerometer,1524420912715,2538405948437,-3.9073372,0.06703765,10.754754
android.sensor.accelerometer,1524420912735,2538425939062,-4.8267107,1.0247183,10.132261
android.sensor.accelerometer,1524420912755,2538445960937,-5.257667,1.4556746,9.251195
android.sensor.accelerometer,1524420912775,2538465951562,-5.0374002,1.7046716,8.820239
android.sensor.accelerometer,1524420912795,2538485942187,-4.8458643,1.388637,8.772355
android.sensor.accelerometer,1524420912815,2538505934375,-4.951209,1.2162545,9.251195
android.sensor.accelerometer,1524420912835,2538525956250,-5.554548,1.3503298,9.969456
android.sensor.accelerometer,1524420912855,2538545946875,-6.339846,1.6567876,10.46745
android.sensor.accelerometer,1524420912875,2538565939062,-6.646304,2.2122424,9.653421
android.sensor.accelerometer,1524420912895,2538585960937,-6.9144545,2.4516625,8.322245
android.sensor.accelerometer,1524420912915,2538605951562,-6.885724,2.3942018,7.967903
android.sensor.accelerometer,1524420912935,2538625942187,-6.445191,1.6663644,8.456321
android.sensor.accelerometer,1524420912954,2538645932812,-5.6790466,0.93852705,8.2169
android.sensor.accelerometer,1524420912974,2538665954687,-4.7500963,0.51714754,8.1881695
android.sensor.accelerometer,1524420912994,2538685946875,-4.012682,0.46926352,8.130709
android.sensor.accelerometer,1524420913014,2538705937500,-4.5298295,0.45968673,7.383718
android.sensor.accelerometer,1524420913034,2538725959375,-4.951209,0.6991069,6.789956
android.sensor.accelerometer,1524420913054,2538745950000,-5.085284,0.47884035,6.2823853
android.sensor.accelerometer,1524420913074,2538765940625,-4.6351743,0.10534488,6.7133417
android.sensor.accelerometer,1524420913094,2538785931250,-4.4244847,-0.5363012,7.2783732
android.sensor.accelerometer,1524420913114,2538805953125,-4.4436383,-1.2354081,8.523358
android.sensor.accelerometer,1524420913134,2538825945312,-4.2042184,-1.6950948,9.490616
android.sensor.accelerometer,1524420913154,2538845935937,-3.8881836,-2.0015526,9.299079
android.sensor.accelerometer,1524420913174,2538865957812,-2.96881,-2.834735,9.385271
android.sensor.accelerometer,1524420913194,2538885948437,-1.4460979,-3.7828386,8.734048
