Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524420879516,2505205934375,0.08044223,0.08044223,-0.51841515
android.sensor.gyroscope,1524420879536,2505225956250,0.08016297,0.09243264,-0.5290442
android.sensor.gyroscope,1524420879556,2505245946875,0.08644616,0.095434606,-0.53312826
android.sensor.gyroscope,1524420879576,2505265939062,0.09162979,0.09679596,-0.5418549
android.sensor.gyroscope,1524420879596,2505285960937,0.09080948,0.103340946,-0.57321846
android.sensor.gyroscope,1524420879616,2505305951562,0.08752826,0.10225884,-0.53859115
android.sensor.gyroscope,1524420879636,2505325942187,0.08098327,0.10744247,-0.5347689
android.sensor.gyroscope,1524420879656,2505345932812,0.07361799,0.10498156,-0.51785666
android.sensor.gyroscope,1524420879676,2505365956250,0.066811204,0.10389945,-0.53859115
android.sensor.gyroscope,1524420879696,2505385945312,0.060528018,0.10225884,-0.5241398
android.sensor.gyroscope,1524420879716,2505405937500,0.053983033,0.0946143,-0.48486993
android.sensor.gyroscope,1524420879736,2505425959375,0.04935791,0.09080948,-0.46305332
android.sensor.gyroscope,1524420879756,2505445951562,0.04499459,0.08316494,-0.45350635
android.sensor.gyroscope,1524420879776,2505465942187,0.033265974,0.076358154,-0.43769366
android.sensor.gyroscope,1524420879796,2505485932812,0.03080506,0.06843436,-0.4529653
android.sensor.gyroscope,1524420879816,2505505954687,0.027803095,0.055623643,-0.4079707
android.sensor.gyroscope,1524420879836,2505525945312,0.023177972,0.04499459,-0.31087804
android.sensor.gyroscope,1524420879856,2505545935937,0.017715093,0.031346112,-0.23315853
android.sensor.gyroscope,1524420879876,2505565959375,0.0,0.0,0.0
android.sensor.gyroscope,1524420879896,2505585950000,-0.024260076,-0.12571606,0.54023176
android.sensor.gyroscope,1524420879916,2505605940625,-0.05808456,-0.25387558,1.1560013
android.sensor.gyroscope,1524420879936,2505625931250,-0.07798131,-0.35205036,1.5958767
android.sensor.gyroscope,1524420879956,2505645954687,-0.0861669,-0.45022514,1.9733042
android.sensor.gyroscope,1524420879976,2505665943750,-0.08452629,-0.55140185,2.3073776
android.sensor.gyroscope,1524420879996,2505685935937,-0.08698721,-0.61931264,2.4941802
android.sensor.gyroscope,1524420880016,2505705957812,-0.08234464,-0.6340432,2.4369159
android.sensor.gyroscope,1524420880037,2505725948437,-0.06981317,-0.63948864,2.3477297
