Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524420988041,2613725931250,0.023177972,-0.034627333,-0.0376293
android.sensor.gyroscope,1524420988056,2613745953125,0.028902652,-0.032166418,-0.035709437
android.sensor.gyroscope,1524420988076,2613765943750,0.0,0.0,0.0
android.sensor.gyroscope,1524420988096,2613785934375,0.0,0.0,0.0
android.sensor.gyroscope,1524420988116,2613805957812,0.026720991,-0.027262043,-0.010349803
android.sensor.gyroscope,1524420988136,2613825948437,0.027262043,-0.02698279,-0.009808751
android.sensor.gyroscope,1524420988156,2613845939062,0.0,0.0,0.0
android.sensor.gyroscope,1524420988176,2613865929687,0.0,0.0,0.0
android.sensor.gyroscope,1524420988196,2613885953125,0.025080381,-0.03408628,-0.036808994
android.sensor.gyroscope,1524420988216,2613905943750,0.031346112,-0.03408628,-0.050440013
android.sensor.gyroscope,1524420988236,2613925934375,0.025359634,-0.032724924,-0.037891097
android.sensor.gyroscope,1524420988256,2613945956250,0.02453933,-0.036529742,-0.034906585
android.sensor.gyroscope,1524420988276,2613965948437,0.027541295,-0.04907866,-0.038990654
android.sensor.gyroscope,1524420988296,2613985939062,0.021537364,-0.049898963,-0.014451326
android.sensor.gyroscope,1524420988316,2614005960937,0.020717058,-0.052080624,0.0035430184
android.sensor.gyroscope,1524420988336,2614025951562,0.017715093,-0.044174284,-0.029722957
android.sensor.gyroscope,1524420988356,2614045942187,0.0155334305,-0.0155334305,-0.10880382
android.sensor.gyroscope,1524420988376,2614065934375,0.11398745,0.19442968,-0.79574794
android.sensor.gyroscope,1524420988396,2614085956250,0.32396802,0.42432445,-1.4532484
android.sensor.gyroscope,1524420988416,2614105946875,0.50694835,0.6124884,-1.8972253
android.sensor.gyroscope,1524420988436,2614125937500,0.63922685,0.7472104,-2.1366496
android.sensor.gyroscope,1524420988456,2614145959375,0.71284485,0.7924842,-2.1303837
android.sensor.gyroscope,1524420988476,2614165951562,0.58222437,0.65013516,-1.7734116
android.sensor.gyroscope,1524420988496,2614185940625,-0.21242402,-0.006806784,-0.36623988
android.sensor.gyroscope,1524420988516,2614205932812,-0.871024,-0.71638787,2.4393594
android.sensor.gyroscope,1524420988537,2614225954687,-0.8819323,-1.0321877,4.105887
android.sensor.gyroscope,1524420988556,2614245945312,-0.95692915,-0.8502895,3.66109
android.sensor.gyroscope,1524420988576,2614265937500,-1.0136523,-0.40959388,1.9954001
android.sensor.gyroscope,1524420988596,2614285959375,-0.7477514,0.1805194,-0.6384065
android.sensor.gyroscope,1524420988616,2614305950000,-0.1802576,0.7120245,-2.5241823
android.sensor.gyroscope,1524420988637,2614325940625,0.30733502,1.0777408,-3.279299
android.sensor.gyroscope,1524420988656,2614345931250,0.5625894,1.2568989,-3.4273903
android.sensor.gyroscope,1524420988676,2614365953125,0.41177553,1.1150908,-3.1925738
android.sensor.gyroscope,1524420988696,2614385943750,-0.09053023,0.6986728,-2.6997974
android.sensor.gyroscope,1524420988716,2614405935937,-0.58604664,0.23261748,-1.8568558
android.sensor.gyroscope,1524420988736,2614425957812,-0.86283845,-0.10608111,-0.7889412
android.sensor.gyroscope,1524420988756,2614445948437,-0.9855525,-0.33161256,0.16770868
android.sensor.gyroscope,1524420988776,2614465939062,-0.98691386,-0.41531855,0.6779382
android.sensor.gyroscope,1524420988796,2614485931250,-0.88737774,-0.36405823,0.6645865
android.sensor.gyroscope,1524420988816,2614505953125,-0.7933045,-0.310337,0.6422114
android.sensor.gyroscope,1524420988836,2614525943750,-0.6981317,-0.25387558,0.54759705
android.sensor.gyroscope,1524420988856,2614545934375,-0.6403089,-0.2443461,0.6299417
android.sensor.gyroscope,1524420988876,2614565957812,-0.7302981,-0.69975483,2.4044528
android.sensor.gyroscope,1524420988896,2614585948437,-0.6847625,-1.0130938,3.6160953
android.sensor.gyroscope,1524420988916,2614605939062,-0.56777304,-1.1620053,4.0876136
android.sensor.gyroscope,1524420988936,2614625960937,-0.49659854,-1.19199,4.1285067
android.sensor.gyroscope,1524420988956,2614645953125,-0.45704937,-1.0433753,3.6390114
android.sensor.gyroscope,1524420988976,2614665942187,-0.053721234,0.45486772,-1.4390763
android.sensor.gyroscope,1524420988996,2614685934375,0.96755815,1.3103583,-3.4841135
android.sensor.gyroscope,1524420989016,2614705956250,1.511333,1.6078845,-3.6231813
