Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524420693739,2319425957812,-3.916914,-7.422025,5.1810527
android.sensor.accelerometer,1524420693754,2319445950000,-4.003105,-7.575254,5.2289367
android.sensor.accelerometer,1524420693774,2319465939062,-4.3287168,-7.4028716,5.48751
android.sensor.accelerometer,1524420693794,2319485931250,-4.1276035,-7.297527,5.1906295
android.sensor.accelerometer,1524420693814,2319505953125,-4.0318356,-7.28795,5.1523223
android.sensor.accelerometer,1524420693834,2319525943750,-3.8594532,-7.575254,5.2002063
android.sensor.accelerometer,1524420693854,2319545934375,-3.8115692,-7.5848308,4.903325
android.sensor.accelerometer,1524420693874,2319565957812,-4.185065,-7.2783732,5.1235914
android.sensor.accelerometer,1524420693894,2319585948437,-4.31914,-7.249643,5.0374002
android.sensor.accelerometer,1524420693914,2319605939062,-4.31914,-7.3645644,5.094861
android.sensor.accelerometer,1524420693934,2319625962500,-4.309563,-7.4124484,4.9416323
android.sensor.accelerometer,1524420693954,2319645953125,-4.2521024,-7.575254,5.0374002
android.sensor.accelerometer,1524420693974,2319665943750,-4.1276035,-7.52737,4.9799395
android.sensor.accelerometer,1524420693994,2319685934375,-4.3382936,-7.536947,5.085284
android.sensor.accelerometer,1524420694014,2319705956250,-4.3478703,-7.5465236,4.5681367
android.sensor.accelerometer,1524420694034,2319725946875,-4.309563,-7.517793,4.1180267
android.sensor.accelerometer,1524420694054,2319745937500,-4.232949,-7.4507556,4.156334
android.sensor.accelerometer,1524420694074,2319765960937,-4.012682,-7.575254,4.367024
android.sensor.accelerometer,1524420694094,2319785951562,-3.6391866,-7.7093296,4.1659107
android.sensor.accelerometer,1524420694114,2319805942187,-3.5338416,-7.8146744,4.185065
android.sensor.accelerometer,1524420694134,2319825932812,-3.5913026,-7.728483,3.9743748
android.sensor.accelerometer,1524420694154,2319845956250,-3.9552212,-7.7189064,4.146757
android.sensor.accelerometer,1524420694174,2319865945312,-4.0797195,-7.3645644,4.146757
android.sensor.accelerometer,1524420694194,2319885937500,-4.098873,-7.3166804,4.6160207
android.sensor.accelerometer,1524420694214,2319905959375,-4.2425256,-7.1059904,5.085284
