Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524420715403,2341085951562,-0.105260804,0.038711403,-0.051539574
android.sensor.gyroscope,1524420715416,2341105942187,-0.08562585,0.037350047,-0.046076693
android.sensor.gyroscope,1524420715436,2341125934375,-0.07497934,0.07661995,-0.04907866
android.sensor.gyroscope,1524420715456,2341145956250,-0.048258353,0.07497934,-0.03544764
android.sensor.gyroscope,1524420715476,2341165946875,-0.03926991,0.08998918,-0.034906585
android.sensor.gyroscope,1524420715496,2341185939062,-0.021537364,0.12543681,-0.027262043
android.sensor.gyroscope,1524420715516,2341205960937,-0.010349803,0.13852678,-0.023998277
android.sensor.gyroscope,1524420715537,2341225951562,0.010088003,0.1510757,-0.016353736
android.sensor.gyroscope,1524420715556,2341245942187,0.0283616,0.17207201,-0.017453292
android.sensor.gyroscope,1524420715576,2341265932812,0.051801372,0.2077989,-0.019076448
android.sensor.gyroscope,1524420715596,2341285956250,0.06517059,0.21570525,-0.019076448
android.sensor.gyroscope,1524420715616,2341305946875,0.06435029,0.20751965,-0.017174039
android.sensor.gyroscope,1524420715636,2341325939062,0.050440013,0.20425588,-0.015812684
android.sensor.gyroscope,1524420715656,2341345959375,0.037350047,0.19607028,-0.013631022
android.sensor.gyroscope,1524420715676,2341365951562,0.034348078,0.17997836,-0.01144936
android.sensor.gyroscope,1524420715696,2341385940625,0.022357667,0.15980235,-0.01144936
android.sensor.gyroscope,1524420715716,2341405932812,-0.012531464,0.12161454,-0.015271631
android.sensor.gyroscope,1524420715736,2341425954687,-0.04717625,0.08180358,-0.016353736
android.sensor.gyroscope,1524420715756,2341445945312,-0.09953613,0.07934267,-0.026720991
android.sensor.gyroscope,1524420715776,2341465937500,-0.13606587,0.03926991,-0.036808994
android.sensor.gyroscope,1524420715796,2341485959375,-0.14915584,0.013631022,-0.04499459
android.sensor.gyroscope,1524420715816,2341505950000,-0.14889404,-0.007347836,-0.04717625
android.sensor.gyroscope,1524420715836,2341525940625,-0.14535102,0.0051661744,-0.045256387
android.sensor.gyroscope,1524420715856,2341545931250,-0.14807373,0.019896753,-0.045814894
android.sensor.gyroscope,1524420715876,2341565954687,-0.13770647,0.019634955,-0.04553564
android.sensor.gyroscope,1524420715896,2341585945312,-0.12053244,0.0376293,-0.04907866
android.sensor.gyroscope,1524420715916,2341605935937,-0.10225884,0.045256387,-0.051801372
android.sensor.gyroscope,1524420715936,2341625957812,-0.08098327,0.044436082,-0.048258353
android.sensor.gyroscope,1524420715956,2341645948437,-0.06899287,0.08126253,-0.050178215
android.sensor.gyroscope,1524420715976,2341665939062,-0.03981096,0.11616912,-0.043074727
android.sensor.gyroscope,1524420715996,2341685931250,-0.02480113,0.14453071,-0.04117232
android.sensor.gyroscope,1524420716016,2341705953125,-0.012810716,0.16580628,-0.04117232
android.sensor.gyroscope,1524420716037,2341725943750,-0.0016231562,0.17507398,-0.03981096
android.sensor.gyroscope,1524420716057,2341745934375,0.01144936,0.19552924,-0.040893063
android.sensor.gyroscope,1524420716077,2341765956250,0.025359634,0.22088887,-0.040631264
android.sensor.gyroscope,1524420716097,2341785948437,0.038990654,0.26069984,-0.035168383
android.sensor.gyroscope,1524420716117,2341805939062,0.05290093,0.28687978,-0.031084314
android.sensor.gyroscope,1524420716138,2341825960937,0.066811204,0.29260445,-0.029443704
android.sensor.gyroscope,1524420716157,2341845951562,0.061086524,0.26724482,-0.038990654
android.sensor.gyroscope,1524420716177,2341865942187,0.06298893,0.2656042,-0.046076693
android.sensor.gyroscope,1524420716197,2341885934375,0.056164697,0.2582389,-0.048258353
android.sensor.gyroscope,1524420716217,2341905956250,0.053162728,0.29724702,-0.03817035
android.sensor.gyroscope,1524420716237,2341925946875,0.040072758,0.32532936,-0.029722957
android.sensor.gyroscope,1524420716257,2341945937500,0.019355701,0.34170055,-0.020996312
android.sensor.gyroscope,1524420716277,2341965959375,-0.014451326,0.33623767,-0.023177972
android.sensor.gyroscope,1524420716296,2341985951562,-0.040352013,0.3504272,-0.027262043
android.sensor.gyroscope,1524420716316,2342005942187,-0.038449604,0.37604862,-0.020437805
android.sensor.gyroscope,1524420716336,2342025932812,-0.016894788,0.39432225,-0.009808751
android.sensor.gyroscope,1524420716356,2342045954687,8.0285146E-4,0.41805872,0.0076270886
android.sensor.gyroscope,1524420716377,2342065945312,0.019355701,0.45104542,0.027803095
android.sensor.gyroscope,1524420716397,2342085935937,0.013892821,0.46005133,0.039531708
android.sensor.gyroscope,1524420716416,2342105959375,-0.00572468,0.47260025,0.04171337
android.sensor.gyroscope,1524420716436,2342125950000,-0.023439772,0.42186353,0.029722957
android.sensor.gyroscope,1524420716457,2342145940625,-0.03408628,0.34524357,0.008726646
android.sensor.gyroscope,1524420716476,2342165932812,-0.04363323,0.2617994,-0.017453292
android.sensor.gyroscope,1524420716497,2342185953125,-0.046355944,0.20751965,-0.032724924
android.sensor.gyroscope,1524420716517,2342205943750,-0.053983033,0.14671238,-0.04145157
android.sensor.gyroscope,1524420716536,2342225935937,-0.054262288,0.06517059,-0.044715334
android.sensor.gyroscope,1524420716556,2342245957812,-0.050981067,0.019634955,-0.04145157
android.sensor.gyroscope,1524420716576,2342265950000,-0.08234464,-0.0038048178,-0.06380924
android.sensor.gyroscope,1524420716597,2342285939062,-0.08452629,-0.009267698,-0.059986968
android.sensor.gyroscope,1524420716616,2342305931250,-0.093811445,0.012531464,-0.04363323
android.sensor.gyroscope,1524420716636,2342325953125,-0.03626794,0.015812684,-5.410521E-4
android.sensor.gyroscope,1524420716656,2342345943750,0.0,0.0,0.0
android.sensor.gyroscope,1524420716676,2342365935937,0.2656042,-0.06843436,0.09653416
android.sensor.gyroscope,1524420716696,2342385956250,0.51867694,-0.17261307,0.14289011
android.sensor.gyroscope,1524420716716,2342405948437,0.70193654,-0.2647839,0.16362461
android.sensor.gyroscope,1524420716736,2342425939062,0.8260294,-0.33105406,0.1794373
android.sensor.gyroscope,1524420716756,2342445960937,0.94137824,-0.4006054,0.18434167
