Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524421457015,3082706951562,-1.8291701,1.5610195,9.586384
android.sensor.accelerometer,1524421457035,3082726942187,-2.3463178,2.0207062,9.959879
android.sensor.accelerometer,1524421457055,3082746932812,-1.2449849,0.8619126,10.180145
android.sensor.accelerometer,1524421457075,3082766954687,-1.5227122,1.7717092,9.548077
android.sensor.accelerometer,1524421457095,3082786945312,-1.3694834,1.4556746,9.346964
android.sensor.accelerometer,1524421457115,3082806935937,-1.3503298,1.3215994,9.643845
android.sensor.accelerometer,1524421457135,3082826959375,-1.532289,1.5801731,9.490616
android.sensor.accelerometer,1524421457155,3082846950000,-1.3790601,1.3120226,9.595961
android.sensor.accelerometer,1524421457175,3082866940625,-1.5514427,1.5897499,9.471462
android.sensor.accelerometer,1524421457195,3082886931250,-1.5993267,1.5227122,9.56723
android.sensor.accelerometer,1524421457215,3082906954687,-1.5801731,1.5131354,9.787497
android.sensor.accelerometer,1524421457235,3082926943750,-1.5897499,1.4652514,9.959879
android.sensor.accelerometer,1524421457255,3082946935937,-1.733402,1.6089035,10.46745
android.sensor.accelerometer,1524421457275,3082966957812,-1.7621324,1.6472107,10.409989
android.sensor.accelerometer,1524421457295,3082986948437,-1.5993267,1.8004397,10.362105
android.sensor.accelerometer,1524421457315,3083006940625,-1.685518,2.030283,10.850522
android.sensor.accelerometer,1524421457335,3083026931250,-2.087744,2.4229321,11.865664
android.sensor.accelerometer,1524421457355,3083046951562,-2.585738,2.6910827,12.018892
android.sensor.accelerometer,1524421457375,3083066943750,-2.6240451,2.920926,11.971008
android.sensor.accelerometer,1524421457395,3083086934375,-2.480393,2.920926,11.654974
android.sensor.accelerometer,1524421457415,3083106957812,-2.5187001,3.0550013,11.271901
android.sensor.accelerometer,1524421457435,3083126948437,-2.6240451,3.1986535,9.998186
android.sensor.accelerometer,1524421457455,3083146939062,-2.5761611,3.083732,8.350976
android.sensor.accelerometer,1524421457475,3083166960937,-1.8483237,2.873042,6.8569937
android.sensor.accelerometer,1524421457495,3083186951562,-1.043872,2.3558946,5.056554
android.sensor.accelerometer,1524421457515,3083206942187,0.2777274,1.13964,2.1739352
android.sensor.accelerometer,1524421457535,3083226934375,-0.05746084,0.7182605,1.6089035
android.sensor.accelerometer,1524421457555,3083246956250,-1.6280571,1.2545617,2.8443117
android.sensor.accelerometer,1524421457575,3083266946875,-2.3463178,0.89064306,3.9360676
android.sensor.accelerometer,1524421457595,3083286937500,-1.4077905,-0.6703765,1.4460979
android.sensor.accelerometer,1524421457615,3083306959375,-0.7565677,-2.27928,-0.076614454
android.sensor.accelerometer,1524421457635,3083326950000,-0.24899697,-3.6104562,-1.3024458
android.sensor.accelerometer,1524421457655,3083346940625,-0.02873042,-4.309563,-0.45010993
android.sensor.accelerometer,1524421457675,3083366932812,0.22026655,-4.9895163,2.8538885
android.sensor.accelerometer,1524421457695,3083386954687,-0.7278373,-4.7788267,5.8705826
android.sensor.accelerometer,1524421457715,3083406945312,-2.078167,-4.6351743,7.067683
android.sensor.accelerometer,1524421457735,3083426937500,-2.6623523,-4.7500963,7.2209125
android.sensor.accelerometer,1524421457755,3083446959375,-2.4133554,-5.707777,8.37013
android.sensor.accelerometer,1524421457775,3083466950000,-4.280833,-6.3302693,12.133814
android.sensor.accelerometer,1524421457795,3083486940625,-7.489063,-5.497087,15.399506
android.sensor.accelerometer,1524421457815,3083506931250,-7.8050976,-5.650316,20.38902
android.sensor.accelerometer,1524421457835,3083526954687,-8.111555,-5.353435,26.853367
android.sensor.accelerometer,1524421457855,3083546945312,-7.019799,-4.462792,27.02575
android.sensor.accelerometer,1524421457875,3083566935937,-5.4300494,-3.5529952,24.018631
android.sensor.accelerometer,1524421457895,3083586957812,-5.085284,-2.9400797,22.543802
android.sensor.accelerometer,1524421457915,3083606948437,-5.3438582,-2.3942018,21.902157
android.sensor.accelerometer,1524421457935,3083626940625,-5.209783,-1.9728222,18.349161
android.sensor.accelerometer,1524421457955,3083646931250,-5.305551,-1.6280571,15.198392
android.sensor.accelerometer,1524421457975,3083666953125,-4.865018,-1.7525556,14.087482
android.sensor.accelerometer,1524421457995,3083686943750,-3.8402996,-2.633622,12.880805
android.sensor.accelerometer,1524421458015,3083706934375,-3.8115692,-2.8921957,13.359646
android.sensor.accelerometer,1524421458035,3083726957812,-4.156334,-2.7581203,14.240712
android.sensor.accelerometer,1524421458055,3083746948437,-4.31914,-2.681506,13.263878
android.sensor.accelerometer,1524421458075,3083766939062,-4.060566,-2.5187001,9.9790325
android.sensor.accelerometer,1524421458095,3083786960937,-4.5872903,-1.6950948,7.4124484
android.sensor.accelerometer,1524421458115,3083806951562,-3.3518825,-1.6280571,6.2728086
android.sensor.accelerometer,1524421458135,3083826942187,-2.2505496,-1.8579005,7.536947
