Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524421446600,3072286956250,0.0,0.0,0.0
android.sensor.gyroscope,1524421446615,3072306945312,0.0,0.0,0.0
android.sensor.gyroscope,1524421446635,3072326937500,0.0,0.0,0.0
android.sensor.gyroscope,1524421446655,3072346959375,0.0,0.0,0.0
android.sensor.gyroscope,1524421446675,3072366950000,0.0,0.0,0.0
android.sensor.gyroscope,1524421446695,3072386940625,0.0,0.0,0.0
android.sensor.gyroscope,1524421446715,3072406932812,0.0,0.0,0.0
android.sensor.gyroscope,1524421446735,3072426954687,0.0,0.0,0.0
android.sensor.gyroscope,1524421446755,3072446945312,0.0,0.0,0.0
android.sensor.gyroscope,1524421446775,3072466935937,0.0,0.0,0.0
android.sensor.gyroscope,1524421446795,3072486959375,0.0,0.0,0.0
android.sensor.gyroscope,1524421446815,3072506950000,0.0,0.0,0.0
android.sensor.gyroscope,1524421446835,3072526940625,0.0,0.0,0.0
android.sensor.gyroscope,1524421446855,3072546931250,0.0,0.0,0.0
android.sensor.gyroscope,1524421446875,3072566953125,0.0,0.0,0.0
android.sensor.gyroscope,1524421446895,3072586943750,0.0,0.0,0.0
android.sensor.gyroscope,1524421446915,3072606934375,0.012269665,-0.008447394,-0.036529742
android.sensor.gyroscope,1524421446935,3072626957812,0.020717058,-0.012531464,-0.05071927
android.sensor.gyroscope,1524421446955,3072646948437,0.016074482,-0.009808751,-0.034627333
android.sensor.gyroscope,1524421446975,3072666939062,0.015812684,-0.011170107,-0.034348078
android.sensor.gyroscope,1524421446995,3072686929687,0.0,0.0,0.0
android.sensor.gyroscope,1524421447015,3072706951562,0.016074482,-0.016894788,-0.03190462
android.sensor.gyroscope,1524421447035,3072726942187,0.025359634,-0.022357667,-0.04499459
android.sensor.gyroscope,1524421447055,3072746934375,0.0283616,-0.020717058,-0.05862561
android.sensor.gyroscope,1524421447075,3072766956250,0.040352013,-0.025621433,-0.08316494
android.sensor.gyroscope,1524421447095,3072786946875,0.059166662,-0.029722957,-0.11180579
android.sensor.gyroscope,1524421447115,3072806937500,0.0752586,-0.03408628,-0.13906783
android.sensor.gyroscope,1524421447135,3072826960937,0.0850848,-0.031346112,-0.14535102
android.sensor.gyroscope,1524421447155,3072846951562,0.10716321,-0.026441738,-0.16688839
android.sensor.gyroscope,1524421447175,3072866942187,0.13716543,-0.019634955,-0.21734585
android.sensor.gyroscope,1524421447195,3072886932812,0.14643313,-0.007347836,-0.22825415
android.sensor.gyroscope,1524421447215,3072906956250,0.15379842,0.002443461,-0.24678956
android.sensor.gyroscope,1524421447235,3072926946875,0.16634732,0.008988446,-0.28497735
android.sensor.gyroscope,1524421447255,3072946937500,0.1437104,0.016632987,-0.25225243
android.sensor.gyroscope,1524421447275,3072966959375,0.1420698,0.033527777,-0.3177023
android.sensor.gyroscope,1524421447295,3072986950000,0.15898204,0.07035422,-0.45486772
android.sensor.gyroscope,1524421447315,3073006940625,0.14316936,0.13308136,-0.593953
android.sensor.gyroscope,1524421447335,3073026932812,0.053441983,0.18352138,-0.54323375
android.sensor.gyroscope,1524421447355,3073046954687,-0.021537364,0.20643754,-0.45977208
android.sensor.gyroscope,1524421447375,3073066945312,-0.30569443,0.2555162,-0.038449604
android.sensor.gyroscope,1524421447395,3073086935937,-0.9811892,0.25033256,1.3474466
android.sensor.gyroscope,1524421447415,3073106957812,-1.2130039,0.10826277,1.8470471
android.sensor.gyroscope,1524421447435,3073126950000,-1.217629,0.054803338,1.7532356
android.sensor.gyroscope,1524421447455,3073146940625,-1.2538968,0.036529742,1.7229542
android.sensor.gyroscope,1524421447475,3073166931250,-1.2980887,0.04145157,1.6864244
android.sensor.gyroscope,1524421447495,3073186953125,-1.3392609,0.11126474,1.6310625
android.sensor.gyroscope,1524421447515,3073206943750,-1.4265274,0.23752186,1.6651489
android.sensor.gyroscope,1524421447535,3073226935937,-1.3430833,0.20998056,1.4131582
android.sensor.gyroscope,1524421447555,3073246957812,-1.2380842,0.1868026,1.1240968
android.sensor.gyroscope,1524421447575,3073266948437,-1.1347258,0.19224802,0.8426624
android.sensor.gyroscope,1524421447595,3073286939062,-1.052102,0.20451768,0.6203947
android.sensor.gyroscope,1524421447615,3073306931250,-0.9754645,0.21624629,0.40769145
android.sensor.gyroscope,1524421447635,3073326953125,-0.88357294,0.20587903,0.208881
android.sensor.gyroscope,1524421447655,3073346943750,-0.7965683,0.19224802,0.029722957
android.sensor.gyroscope,1524421447675,3073366934375,-0.74148566,0.17397442,-0.076358154
android.sensor.gyroscope,1524421447695,3073386956250,-0.6847625,0.15598008,-0.15844099
android.sensor.gyroscope,1524421447715,3073406948437,-0.6081251,0.1611637,-0.2552544
android.sensor.gyroscope,1524421447735,3073426939062,-0.54403657,0.16088445,-0.31714377
android.sensor.gyroscope,1524421447755,3073446960937,-0.5151339,0.14997615,-0.2754304
android.sensor.gyroscope,1524421447775,3073466951562,-0.5036846,0.12733923,-0.20343557
android.sensor.gyroscope,1524421447795,3073486942187,-0.46849874,0.1055226,-0.1595231
android.sensor.gyroscope,1524421447815,3073506932812,-0.4205022,0.09243264,-0.119991384
android.sensor.gyroscope,1524421447835,3073526956250,-0.36760125,0.08016297,-0.10089748
android.sensor.gyroscope,1524421447855,3073546946875,-0.22933626,0.11126474,-0.22907446
android.sensor.gyroscope,1524421447875,3073566937500,-0.038990654,0.29016098,-0.4750437
android.sensor.gyroscope,1524421447895,3073586959375,0.15489797,0.44586182,-0.6823016
android.sensor.gyroscope,1524421447915,3073606951562,0.26342255,0.4674166,-0.6719518
android.sensor.gyroscope,1524421447935,3073626940625,0.19306833,0.38097048,-0.3463257
android.sensor.gyroscope,1524421447955,3073646932812,0.18842575,0.31305972,-0.14617133
android.sensor.gyroscope,1524421447975,3073666954687,0.23151793,0.16198401,-0.0051661744
android.sensor.gyroscope,1524421447995,3073686945312,0.28878218,0.09925687,0.043074727
android.sensor.gyroscope,1524421448015,3073706935937,0.3463257,0.10934488,0.03408628
android.sensor.gyroscope,1524421448036,3073726959375,0.38695696,0.11534881,0.02289872
android.sensor.gyroscope,1524421448056,3073746950000,0.41968188,0.07035422,0.026441738
android.sensor.gyroscope,1524421448077,3073766940625,0.46523497,0.012269665,0.02289872
android.sensor.gyroscope,1524421448096,3073786931250,0.48377037,-0.0095294975,0.0376293
android.sensor.gyroscope,1524421448116,3073806953125,0.5429545,-0.00816814,-0.03926991
android.sensor.gyroscope,1524421448136,3073826943750,0.8666607,-0.03408628,-0.5107706
android.sensor.gyroscope,1524421448156,3073846935937,1.1153702,-0.033265974,-0.9061924
android.sensor.gyroscope,1524421448176,3073866957812,1.0886492,-0.038711403,-0.8576548
android.sensor.gyroscope,1524421448196,3073886948437,1.1390891,-0.07661995,-0.9154776
android.sensor.gyroscope,1524421448216,3073906939062,1.1625464,-0.13062043,-0.9239249
android.sensor.gyroscope,1524421448236,3073926931250,1.1216358,-0.20998056,-0.8044746
android.sensor.gyroscope,1524421448256,3073946953125,1.0673735,-0.2727077,-0.6983935
android.sensor.gyroscope,1524421448277,3073966943750,0.9713805,-0.26206118,-0.61522853
android.sensor.gyroscope,1524421448296,3073986934375,0.88601637,-0.24024457,-0.5754002
android.sensor.gyroscope,1524421448316,3074006956250,0.7752927,-0.23233823,-0.46305332
android.sensor.gyroscope,1524421448336,3074026948437,0.6566801,-0.22415264,-0.32587042
android.sensor.gyroscope,1524421448356,3074046939062,0.5407728,-0.21842796,-0.178617
android.sensor.gyroscope,1524421448376,3074066960937,0.44069564,-0.2061583,-0.06517059
android.sensor.gyroscope,1524421448397,3074086951562,0.37768924,-0.19416788,-0.022078415
android.sensor.gyroscope,1524421448416,3074106942187,0.3231477,-0.1802576,0.010349803
android.sensor.gyroscope,1524421448437,3074126934375,0.25987953,-0.16798794,0.053162728
android.sensor.gyroscope,1524421448455,3074146956250,0.20998056,-0.15053464,0.07335619
android.sensor.gyroscope,1524421448475,3074166946875,0.15734144,-0.14261085,0.10225884
android.sensor.gyroscope,1524421448495,3074186937500,0.10580186,-0.1328021,0.13662437
android.sensor.gyroscope,1524421448515,3074206959375,0.06571165,-0.11070623,0.14753269
